english,translate
Wings of Glory—Champion,Крылья славы — Чемпион
Wings of Glory—Elite,Крылья славы — Элита
Wings of Glory—Recruit,Крылья славы — Рекрут
Wings of Glory—Veteran,Крылья славы — Ветеран
Wings of Justice,Крылья справедливости
Winn's Favorite,Любимец Винн
Winn's Favorite Patron,Любимый завсегдатай Winn
Winner and Champion,Победитель и чемпион
Winner's Circle,Круг победителей
Winning Hearts and Minds,Завоевание сердец и умов
Winter Wonderland Mastery,Мастерство Зимней сказки
Winter Wonderland Winner,Победитель Зимней сказки
Winter Wonderland Winner II,Победитель Зимней сказки II
Winter Wonderland Winner III,Победитель Зимней сказки III
Winter Wonderland Winner IV,Победитель Зимней сказки IV
Winter Wonderland Winner V,Победитель Зимней сказки V
Winter's Weapon Collection,Коллекция зимнего оружия
Wintersday Cheermeister,Мастер радости Дня зимы
Wintersday Daily,Ежедневные задания Дня зимы
Wintersday Skritt Hit,Удар по скаттам в День зимы
Wintersday Skritt Hit II,Удар по скаттам в День зимы II
Wintersday Skritt Hit III,Удар по скаттам в День зимы III
Wintersday Skritt Hit IV,Удар по скаттам в День зимы IV
Wintersday Skritt Hit V,Удар по скаттам в День зимы V
Wintersday Snowball Slinger,Снежковый стрелок Дня зимы
Wintersday Snowball Slinger II,Снежковый стрелок Дня зимы II
Wintersday Snowball Slinger III,Снежковый стрелок Дня зимы III
Wintersday Snowball Slinger IV,Снежковый стрелок Дня зимы IV
Wintersday Toy Weapons Collection,Коллекция игрушечного оружия Дня зимы
Wintersday Weapon Collection,Коллекция оружия Дня зимы
Wintersday Wrecking Ball,Таран Дня зимы
Wintersday's Guardian,Страж Дня зимы
Wisdom or Woodlands,Мудрость или Леса
Wit and Wisdom,Остроумие и мудрость
With Friends Like These...,С такими друзьями...
Wizard's Aide,Помощник волшебника
Wizard's Tower Diving Goggles,Очки для прыжков в Wizard's Tower
Wizard's Tower: Fly by Night—Gold,Wizard's Tower: Ночной полёт — Золото
Wizard's Tower: Fly by Night—Silver,Wizard's Tower: Ночной полёт — Серебро
Wizard's Tower: Skyscale Target Practice—Gold,Wizard's Tower: Тренировка по целям на Skyscale — Золото
Wizard's Tower: Skyscale Target Practice—Master,Wizard's Tower: Тренировка по целям на Skyscale — Мастер
Wizard's Tower: Skyscale Target Practice—Silver,Wizard's Tower: Тренировка по целям на Skyscale — Серебро
Wizard's Vault Daily Objectives,Ежедневные цели Хранилища Волшебника
Wizard's Vault Seasonal Objectives,Сезонные цели Хранилища Волшебника
Wizard's Vault Weekly Objectives,Еженедельные цели Хранилища Волшебника
Wizard's Vault: Daily Completionist,Wizard's Vault: Ежедневный завершитель
Wizarding Essentials,Основы волшебства
Woad Armor Collector,Коллекционер доспехов Woad
Won't Get Killed Again,Больше не убьют
Wondrous Achiever,Чудесный достигатор
Woodland Management: Bitterfrost Frontier,Управление лесом: Bitterfrost Frontier
Woodland Management: Bjora Marches,Управление лесом: Bjora Marches
Woodland Management: Bloodstone Fen,Управление лесом: Bloodstone Fen
Woodland Management: Domain of Istan,Управление лесом: Domain of Istan
Woodland Management: Domain of Kourna,Управление лесом: Domain of Kourna
Woodland Management: Draconis Mons,Управление лесом: Draconis Mons
Woodland Management: Dragonfall,Управление лесом: Dragonfall
Woodland Management: Drizzlewood Coast,Управление лесом: Drizzlewood Coast
Woodland Management: Dry Top,Управление лесом: Dry Top
Woodland Management: Ember Bay,Управление лесом: Ember Bay
Woodland Management: Forging Steel,Управление лесом: Forging Steel
Woodland Management: Grothmar Valley,Управление лесом: Grothmar Valley
Woodland Management: Jahai Bluffs,Управление лесом: Jahai Bluffs
Woodland Management: Lake Doric,Управление лесом: Lake Doric
Woodland Management: Sandswept Isles,Управление лесом: Sandswept Isles
Woodland Management: Silverwastes,Управление лесом: Silverwastes
Woodland Management: Siren's Landing,Управление лесом: Siren's Landing
Woodland Management: Thunderhead Peaks,Управление лесом: Thunderhead Peaks
Woodpecker,Дятел
Words of Mending,Слова исцеления
Work with a Smile,Работай с улыбкой
Working as Intended,Работает как задумано
Workplace Safety,Техника безопасности на рабочем месте
World Boss Rush Global Ranks,Мировой рейтинг World Boss Rush
World Boss Rush Participant,Участник набега на мировых боссов
World Class Fisher,Рыболов мирового класса
World Contributor Round 1,"Мировой участник, раунд 1"
World Contributor Round 2,"Мировой участник, раунд 2"
World Contributor Round 3,"Мировой участник, раунд 3"
World Contributor Round 4,"Мировой участник, раунд 4"
World Lore: Gyala Delve,Мировые знания: Gyala Delve
World Lore: Special Ops Rescue Agency,Мировые знания: Агентство спасательных спецопераций
World Ranker,Мировой рейтинговый игрок
World vs World Warclaw,World vs. World: Боевой коготь
World vs. Kite,Мир против Кайта
World vs. World Collections,Коллекции World vs. World
Worldwide Dragon Basher,Всемирный истребитель драконов
Worldwide Invasion Responder,Участник отражения всемирного вторжения
Wow. That's Flashy Armor.,Ого. Какая броская броня.
Wow. That's quality armor.,Ого. Качественная броня.
Wrapping Everywhere,Упаковка повсюду
Wrath of the Twisted Marionette Avenger,Гнев искажённого марионеточного мстителя
Wrath of the Twisted Marionette Global Victory,Глобальная победа искажённой марионетки
Wrath of the Twisted Marionette Participant,Участник битвы с искажённой марионеткой
Written Ward,Письменная защита
"Wrong Time, Wrong Place","Не в то время, не в том месте"
Wurm Bait,Приманка для червя
Wurm Barf,Рвота червя
Wurm Decapitator,Обезглавливатель червей
Wurm Demolitionist,Подрывник червей
Wurm Egg Scrambler,Яичница из яиц червя
Wurm Hurdler,Прыгун через червей
Wurm Kleptomaniac,Клептоман червей
Wurm Phytotoxin Collector,Собиратель фитотоксина червей
Wurm Slayer,Убийца червей
Wurm Slurper,Пожиратель червей
Wurm's Bane,Погибель змея
Wurmhole Traveler,Путешественник через червоточины
Wurmicidal Maniac,Маньяк-червеубийца
Wurmslayer,Убийца червей
WvW Dawn of the Season,WvW: Рассвет сезона
WvW Fall Tournament 2014 Veteran,Ветеран осеннего турнира WvW 2014
WvW Premier Season: 1st Place,Премьер-сезон WvW: 1-е место
WvW Premier Season: 2nd Place,Премьер-сезон WvW: 2-е место
WvW Premier Season: 3rd Place,Премьер-сезон WvW: 3-е место
WvW Premier Season: 4th Place,Премьер-сезон WvW: 4-е место
WvW Premier Season: 5th Place,Премьер-сезон WvW: 5-е место
WvW Premier Season: 6th Place,Премьер-сезон WvW: 6-е место
WvW Premier Season: 7th Place,Премьер-сезон WvW: 7-е место
WvW Premier Season: 8th Place,Премьер-сезон WvW: 8-е место
WvW Premier Season: 9th Place,Премьер-сезон WvW: 9-е место
WvW Rush Castle Capturer,WvW Захватчик замка (натиск)
WvW Rush Sign-Up,Регистрация в осаде WvW
WvW Spring Tournament 2014 Veteran,Ветеран весеннего турнира WvW 2014
WvW Spring Tournament 2014: 1st Place,Весенний турнир WvW 2014: 1-е место
WvW Spring Tournament 2014: 2nd Place,Весенний турнир WvW 2014: 2-е место
WvW Spring Tournament 2014: 3rd Place,Весенний турнир WvW 2014: 3-е место
WvW Spring Tournament 2014: 4th Place,Весенний турнир WvW 2014: 4-е место
WvW Spring Tournament 2014: 5th Place,Весенний турнир WvW 2014: 5-е место
WvW Spring Tournament 2014: 6th Place,Весенний турнир WvW 2014: 6-е место
WvW Spring Tournament 2014: 7th Place,Весенний турнир WvW 2014: 7-е место
