english,translate
Court Is Adjourned,Court Is Adjourned
Courtly Discourtesy,Courtly Discourtesy
Courtly Service,Courtly Service
Cover the Castaway Crew,Cover the Castaway Crew
Covered in Bees!,Covered in Bees!
Cozy Creator,Cozy Creator
Crab Kickin',Crab Kickin'
Crab Toss Champion,Crab Toss Champion
Crab Toss Participant,Crab Toss Participant
Crab Toss Regular,Crab Toss Regular
Crab-Carrying Competitor,Crab-Carrying Competitor
Crabgrabber,Crabgrabber
Crabtacular!,Crabtacular!
Craft %num2% exotic item from any discipline.,Изготовьте %num2% экзотическ[ий предмет|их предмета|их предметов] любой профессии.
Craft %num2% item.,Изготовьте %num2% предмет[|а|ов].
Craft %num2% masterwork item[s].,Изготовьте %num2% предмет[|а|ов] мастерского качества.
Craft 5 food consumables.,Создайте 5 расходуемых продуктов питания.
Craft items of masterwork quality or higher.,Создайте предметы мастерского качества или выше.
Craft the Banner of the Commander.,Создайте Знамя Коммандира.
Craft the Banner of the Dauntless Commander.,Создайте Знамя Бесстрашного Коммандира.
Craft the legendary weapon Bolt.,Создайте легендарное оружие «Bolt».
Craft the legendary weapon Eternity.,Создайте легендарное оружие «Eternity».
Craft the legendary weapon Frenzy.,Создайте легендарное оружие «Frenzy».
Craft the legendary weapon Frostfang.,Создайте легендарное оружие «Frostfang».
Craft the legendary weapon Howler.,Создайте легендарное оружие «Howler».
Craft the legendary weapon Incinerator.,Создайте легендарное оружие «Incinerator».
Craft the legendary weapon Kamohoali'i Kotaki.,Создайте легендарное оружие «Kamohoali'i Kotaki».
Craft the legendary weapon Kraitkin.,Создайте легендарное оружие «Kraitkin».
Craft the legendary weapon Kudzu.,Создайте легендарное оружие «Kudzu».
Craft the legendary weapon Meteorlogicus.,Создайте легендарное оружие «Meteorlogicus».
Craft the legendary weapon Quip.,Создайте легендарное оружие «Quip».
Craft the legendary weapon Rodgort.,Создайте легендарное оружие «Rodgort».
Craft the legendary weapon Sunrise.,Создайте легендарное оружие «Sunrise».
Craft the legendary weapon The Bifrost.,Создайте легендарное оружие «The Bifrost».
Craft the legendary weapon The Dreamer.,Создайте легендарное оружие «The Dreamer».
Craft the legendary weapon The Flameseeker Prophecies.,Создайте легендарное оружие «The Flameseeker Prophecies».
Craft the legendary weapon The Juggernaut.,Создайте легендарное оружие «The Juggernaut».
Craft the legendary weapon The Minstrel.,Создайте легендарное оружие «The Minstrel».
Craft the legendary weapon The Moot.,Создайте легендарное оружие «The Moot».
Craft the legendary weapon The Predator.,Создайте легендарное оружие «The Predator».
Craft the legendary weapon Twilight.,Создайте легендарное оружие «Twilight».
Crafting Items,Crafting Items
Crash Landing,Crash Landing
"Crashing to the earth, cleaving the Mists...","Падение на землю, рассекая Туманы..."
Crate Consumer,Crate Consumer
Crate Keeper,Crate Keeper
Crate Scrapper,Crate Scrapper
Crater Circuit: Gold Challenge,Crater Circuit: Gold Challenge
Crater Circuit: Silver Challenge,Crater Circuit: Silver Challenge
Crater Circuit: Top Three,Crater Circuit: Top Three
Craving Quaggan,Craving Quaggan
Crazed Karka Queen Killer,Crazed Karka Queen Killer
Create %num2% item in the Mystic Forge.,Создайте %num2% предмет[|а|ов] в Mystic Forge.
Create a banner to serve as a physical symbol of your valor upon the battlefield.,"Создайте знамя, которое послужит физическим символом вашей доблести на поле боя."
Create an Aether Key using Aether Key Pieces.,"Создайте Эфирный ключ, используя Части эфирного ключа."
Create and test a prototype Dragonsblood weapon.,Создайте и испытайте прототип оружия из крови дракона.
Create etchings of three amber keystones around the Echovald Wilds.,Создайте оттиски трех янтарных краеугольных камней вокруг Echovald Wilds.
Create makeshift weapons for the unarmed villagers of Zephyr's Trace in Destiny's Gorge.,Создайте импровизированное оружие для безоружных жителей Zephyr's Trace в Destiny's Gorge.
Creative use of maces offers rangers a dual-wielding option for utility support for themselves and their allies.,Творческое использование булав даёт рейнджерам возможность использовать их в обеих руках для поддержки себя и своих союзников.
Crew Overboard!,Crew Overboard!
Crime and Punishment,Crime and Punishment
Crimson Dragon Slayer Weapon Collector,Crimson Dragon Slayer Weapon Collector
Crimson Lion Weapon Collection,Crimson Lion Weapon Collection
Crimson Plateau,Crimson Plateau
Crimson Wurmslayer,Crimson Wurmslayer
Crop Harvester: Bitterfrost Frontier,Crop Harvester: Bitterfrost Frontier
Crop Harvester: Bjora Marches,Crop Harvester: Bjora Marches
Crop Harvester: Bloodstone Fen,Crop Harvester: Bloodstone Fen
Crop Harvester: Domain of Istan,Crop Harvester: Domain of Istan
Crop Harvester: Domain of Kourna,Crop Harvester: Domain of Kourna
Crop Harvester: Draconis Mons,Crop Harvester: Draconis Mons
Crop Harvester: Dragonfall,Crop Harvester: Dragonfall
Crop Harvester: Drizzlewood Coast,Crop Harvester: Drizzlewood Coast
Crop Harvester: Dry Top,Crop Harvester: Dry Top
Crop Harvester: Ember Bay,Crop Harvester: Ember Bay
Crop Harvester: Forging Steel,Crop Harvester: Forging Steel
Crop Harvester: Grothmar Valley,Crop Harvester: Grothmar Valley
