english,translate,layer
Ogden,Огден,pn_names
Shing Jea,Шинг Джеа,pn_names
Minotaur,Минотавр,pn_names
Mursaat,Мурсаат,pn_names
Zaishen,Зайшен,pn_names
Pol,Поль,pn_names
Tactician Syska,Тактик Сыска,pn_names
Solvi,Солви,pn_names
Champawat,Чампават,pn_names
Horrik,Хоррик,pn_names
Varonos Narrijoo,Варонос Нарриджу,pn_names
Kaana Miatli,Каана Миатли,pn_names
Jat,Джат,pn_names
Dragon Trigger,Драконий триггер,pn_names
Oriel,Ориэль,pn_names
Warden Hywel,Варден Хайвел,pn_names
Grand Vizier Utumishi,Великий визирь Утумиши,pn_names
Steag Frostbeard,Стег Фростбирд,pn_names
Lunt,Лун,pn_names
Wark,Варк,pn_names
Valravn,Вальравн,pn_names
Archivist Sestina,Архивариус Сестина,pn_names
Mantra,Мантра,pn_names
Maelstrom,Маэлстром,pn_names
Kessex Haven,Кессекс-Хейвен,pn_names
Havroun Weibe,Хаврун Вайбе,pn_names
Sparkk,Спаркк,pn_names
Kispik,Киспик,pn_names
Ceri,Кери,pn_names
Lin,Лин,pn_names
Historian Taraz,Историк Тараз,pn_names
Meep,Мип,pn_names
Teyrna,Тейрна,pn_names
Kel,Кел,pn_names
Taccius Stormbane,Такциус Штормклин,pn_names
Niamh,Ниам,pn_names
Renho,Ренхо,pn_names
Crescendo,Крещендо,pn_names
Vinetooth Prime,Винетоот Прайм,pn_names
Shaman Palak,Шаман Палак,pn_names
Mingli,Мингли,pn_names
Lakoon'ta,Лакуон’та,pn_names
Junko,Дзюнько,pn_names
Zafir'azim,Зафиразим,pn_names
Emiko,Эмико,pn_names
Lieutenant Davel,Лейтенант Давел,pn_names
Sasha,Саша,pn_names
Saraid,Сараид,pn_names
Centaurs,Кентавры,pn_names
Volden,Волден,pn_names
Tactician Beirne,Тактик Бейрн,pn_names
Mik'heel Bockclaw,Мик’хил Боцклав,pn_names
Etheropod,Эферопод,pn_names
Arcanist Repth,Арканист Рептх,pn_names
Mossman,Моссман,pn_names
Samantha,Саманта,pn_names
Jimmy Hammerhart,Джимми Хаммерхарт,pn_names
Emperor Mattake,Император Маттакэ,pn_names
Myung-Hee,Мюнг-Хи,pn_names
Naja,Наджа,pn_names
Jessica Hammerhart,Джессика Хаммерхарт,pn_names
Hullgardener Gregorios,Халлгарденер Грегориос,pn_names
Lofa,Лофа,pn_names
Binna,Бинна,pn_names
Gi-Moon,Ги-Мун,pn_names
Valg Portermauler,Валг Портемаулер,pn_names
Ori,Ори,pn_names
Ollin,Оллин,pn_names
Wistt,Вистт,pn_names
Zzzig,З-з-зиг,pn_names
Garff,Гарфф,pn_names
Mextli,Мештли,pn_names
Ploint,Плоинт,pn_names
Tarocheeki,Тарочеки,pn_names
Nasim,Насим,pn_names
Terrill Tinkerclaw,Террилл Тинкеркло,pn_names
Tanek,Танек,pn_names
Matriarch Scrabclaw,Матриарх Скрэбклоу,pn_names
Kippf,Кипф,pn_names
Ezoola,Эзула,pn_names
Myr,Мир,pn_names
Nekhii Burnthide,Некхии Бёрнхайд,pn_names
Remi,Реми,pn_names
Isobel,Изобель,pn_names
Kubo,Кубо,pn_names
Ettins,Еттины,pn_names
Cook Forah,Кук Фора,pn_names
Herjarr,Херьярр,pn_names
Uptown Johnny,Уптон Джонни,pn_names
Wjerd Bladeborn,Вьерд Блейдборн,pn_names
Sergeant Bigsby,Сержант Бигсби,pn_names
Ergo Shear,Эрго Шир,pn_names
Reatalle,Реаталь,pn_names
Penelope,Пенелопа,pn_names
Shisokana,Шисокана,pn_names
Sparki,Спарки,pn_names
Gentt,Гентт,pn_names
Mazomba,Мазомба,pn_names
Nayeli,Наели,pn_names
Suyin,Суйин,pn_names
Scipio,Сципион,pn_names
Sergei,Сергей,pn_names
Tarrktun,Тарктун,pn_names
Professor Portmatt,Профессор Портматт,pn_names
Vald-One,Вальд-Один,pn_names
Vix,Викс,pn_names
Tix,Тикс,pn_names
Vasili Lutgardis,Васили Лутгардис,pn_names
Hypnoss,Гипносс,pn_names
Iori Emberwing,Иори Эмбервинг,pn_names
Wyn,Вин,pn_names
Kema,Кема,pn_names
Tatli,Татли,pn_names
Quaztocel,Квазоцель,pn_names
Pipryna,Пиприна,pn_names
Korr Mokmak,Корр Мокмак,pn_names
Kix,Кикс,pn_names
Agent Kashud,Агент Кашуд,pn_names
Ember Motes,Эмбер Мотес,pn_names
Scaldmaw,Скальдмоу,pn_names
Owain,Оуэйн,pn_names
Sigga,Сигга,pn_names
Tactician Jazmei,Тактик Джазмей,pn_names
In-Sook,Ин-Сук,pn_names
Okan,Окан,pn_names
Hazupl Cuintli,Хазупл Куинтли,pn_names
Lapatl Tlamatini,Лапатл Тламатини,pn_names
Tactician Devonnah,Тактик Девенна,pn_names
Specialist Chae-Yun,Специалист Чае-Юн,pn_names
Tactician Dutch,Тактик Дюш,pn_names
Pava,Пава,pn_names
Looah,Луа,pn_names
Samet,Самет,pn_names
Nix,Никс,pn_names
Larano,Ларано,pn_names
Research Consultant Suyeom,Научный консультант Суёом,pn_names
Tactician Footi,Тактик Фути,pn_names
Grumlukl,Грумлукл,pn_names
Tlamualli,Тламуалли,pn_names
Latrodectus,Латродектус,pn_names
Cryptopidae,Криптопиды,pn_names
Blattellidae,Блаттеллиды,pn_names
Diptera,Диптера,pn_names
Blattodea,Блаттодея,pn_names
Spirobolidae,Спироболиды,pn_names
Odonata,Одоната,pn_names
Apidae,Апиды,pn_names
