english,translate
Activate Claimable Tactics,Активировать тактики захвата
Admin Lower Ranks.,Управление низшими рангами.
Arena Decorator,Оформитель арены
Change Guild Anthem,Изменить гимн гильдии
Change Guild Hall Music,Изменить музыку в холле гильдии
Claim Guild Hall,Захватить холл гильдии
Claim Objectives,Захват объектов
Edit Assembly Queue,Редактировать очередь сборки
Edit Claimable Options,Редактировать настройки захвата
Edit Guild Emblem,Редактировать инсигнию гильдии
Edit Message of the Day,Редактировать сообщение дня
Edit Ranks,Редактировать ранги
Guild Stash—Deposit Gold,Гильдейский тайник — внести золото
Guild Stash—Deposit Items,Гильдейский тайник — внести предметы
Guild Stash—Withdraw Gold,Гильдейский тайник — забрать золото
Guild Stash—Withdraw Items,Гильдейский тайник — забрать предметы
Guild World Events,Гильдейские мировые события
Mission Control,Управление миссиями
Monument Decorator,Оформитель памятников
New Members Here,Новые участники здесь
Open Guild Portal,Открыть гильдейский портал
Purchase Upgrades,Покупка улучшений
Remove All Decorations,Убрать все украшения
Spend Claimable Upgrades,Тратить улучшения захвата
Treasure Trove—Deposit Gold,Сокровищница — Внести золото
Treasure Trove—Deposit Items,Сокровищница — Внести предметы
Treasure Trove—Withdraw Gold,Сокровищница — Забрать золото
Treasure Trove—Withdraw Items,Сокровищница — Забрать предметы
Use Placeables,Использование размещаемых объектов
Use Resonance,Использование резонанса
