english,translate
Whirlpool,Whirlpool
Whirlwind,Whirlwind
Whirlwind Attack,Whirlwind Attack
Wicked Spiral,Wicked Spiral
Wicked Strike,Wicked Strike
Wicked Swipe,Wicked Swipe
Width,Ширина
Wild Blow,Wild Blow
Wild Strike,Wild Strike
Wild Strikes,Wild Strikes
Wild Swing,Wild Swing
Wild Throw,Wild Throw
Wild Whirl,Wild Whirl
Will revive when downed.,Воскреснет после падения.
Willbender Flames,Willbender Flames
Wind Blast,Wind Blast
Wind Burst,Wind Burst
Wind Force,Wind Force
Wind Shear,Wind Shear
Wind Slam,Wind Slam
Wind Storm,Wind Storm
Windborne Speed,Windborne Speed
Winds of Chaos,Winds of Chaos
Winds of Disenchantment,Winds of Disenchantment
Winds of Jormag,Winds of Jormag
Wing Buffet,Wing Buffet
Wings of Rage,Wings of Rage
Wings of Resolve,Wings of Resolve
Winter's Bite,Winter's Bite
Wintersday Aura,Wintersday Aura
Wintry Orb,Wintry Orb
Wisp of Will,Wisp of Will
Withdraw,Withdraw
Withering Plague,Withering Plague
Wolf's Onslaught,Wolf's Onslaught
World Cleaver,World Cleaver
Worldly Impact,Worldly Impact
Wounding Strike,Wounding Strike
Woven Air,Woven Air
Woven Earth,Woven Earth
Woven Fire,Woven Fire
Woven Water,Woven Water
Wraith's Lightning,Wraith's Lightning
Wrap your foot in stone and kick your foe.,Обернуть свою ногу камнем и пнуть противника.
Wrathful Grasp,Wrathful Grasp
Wrathful Strike,Wrathful Strike
Wurm Spit,Wurm Spit
Wuthering Wind,Wuthering Wind
Wyvern's Lash,Wyvern's Lash
Xera's Fury,Xera's Fury
"Xera's horrible spell bears down on you, dealing heavy damage.","Ужасное заклинание Xera обрушивается на вас, нанося огромный урон."
"Xera's magic blasts the arena, using the Keep Construct's body as a lens. Damage increases with more stacks of Magic Blast Intensity.","Магия Xera взрывает арену, используя тело Keep Construct как линзу. Урон увеличивается с каждым уровнем эффекта Magic Blast Intensity."
"Xera's physical attacks sing with magic, cutting and affecting all before her.","Физические атаки Xera пропитаны магией, они рассекают и поражают всех перед ней."
Xinrae's Weapon,Xinrae's Weapon
You Will Join Us,You Will Join Us
"You and all your axe clones shadowstep to a random location around your target and strike, applying confusion. This attack breaks enemy targeting, and your illusions change focus to the targeted foe.","Вы и все ваши клоны с топорами совершаете теневой шаг в случайную точку вокруг цели и наносите удар, накладывая замешательство. Эта атака сбрасывает вражеское наведение, а ваши иллюзии переключаются на выбранного противника."
"You and nearby allies gain swiftness, while curing crippled, immobilized, and chilled.","Вы и ближайшие союзники получаете быстроту, а также снимаете эффекты хромоты, обездвиживания и заморозки."
You are revealed and take additional damage from the source of the tether.,Вы обнаружены и получаете повышенный урон от источника связи.
You are under the illusion that you are alive.,"Вы пребываете в иллюзии, что вы живы."
You can use Death's Advance.,Вы можете использовать «Натиск смерти».
You can use Palm Strike.,Вы можете использовать «Удар ладонью».
You can't move.,Вы не можете двигаться.
You cannot stealth,Вы не можете использовать невидимость
You cannot use skills as a whirlpool.,"Вы не можете использовать навыки, находясь в водовороте."
You cannot use skills while transformed.,Вы не можете использовать навыки во время трансформации.
You do not lose health from being downed.,You do not lose health from being downed.
You made a small mistake in your sketch.,Вы допустили небольшую ошибку в своем наброске.
You may block again.,Вы снова можете блокировать.
You move quicker and deal increased strike damage.,Вы двигаетесь быстрее и наносите увеличенный урон от ударов.
You receive no damage from incoming attacks. You remain susceptible to conditions and controlling effects.,Вы не получаете урон от направленных против вас атак. Вы остаетесь подвержены воздействию состояний и эффектов контроля.
You regenerate health.,Вы восстанавливаете здоровье.
"You spent too much time in the largos' domain, allowing them to hunt you down.","Вы провели слишком много времени во владениях ларгосов, позволив им выследить вас."
You take increased strike and condition damage.,Вы получаете увеличенный урон от прямых атак и состояний.
You take no damage from incoming attacks or conditions.,Вы не получаете урона от входящих атак или состояний.
You take no damage from incoming attacks. You are still susceptible to conditions and control effects.,Вы не получаете урона от входящих атак. Вы по-прежнему уязвимы к состояниям и эффектам контроля.
You take reduced physical and condition damage.,Вы получаете сниженный физический урон и урон от состояний.
You've drawn the hatred of Dhuum's messenger.,Вы навлекли на себя ненависть посланника Dhuum.
Your Legendary Centaur skills are always empowered and do not consume the tranquil effect.,Ваши навыки Легендарного кентавра всегда усилены и не поглощают эффект спокойствия.
"Your Legendary Demon Stance skills have reduced energy costs, but your utility skills have increased cooldown.","Ваши навыки Легендарной стойки демона имеют сниженную стоимость энергии, но ваши вспомогательные навыки имеют увеличенное время перезарядки."
Your attacks are unblockable,Ваши атаки нельзя заблокировать.
Your attacks can't be blocked.,Ваши атаки нельзя заблокировать.
Your attacks chill foes.,Ваши атаки охлаждают врагов.
Your attacks gain a follow-up strike.,Ваши атаки получают дополнительный удар.
Your attacks immobilize foes.,Ваши атаки обездвиживают врагов.
Your attacks inflict vulnerability and torment.,Ваши атаки накладывают уязвимость и боль.
Your attacks poison foes.,Ваши атаки отравляют врагов.
Your attacks turn foes to stone.,Ваши атаки превращают врагов в камень.
Your attributes are increased. Gain additional effects based on the <c=@abilitytype>morph</c> skills you have slotted.,Ваши атрибуты увеличены. Получайте дополнительные эффекты в зависимости от вставленных навыков <c=@abilitytype>трансформации</c>.
"Your base and maximum movement speed is reduced. Gain access to kneel skills, which have increased projectile velocity. You can still dodge roll while kneeling. Kneeling is canceled if you swap weapons or use Free Action.","Базовая и максимальная скорость передвижения снижены. Получите доступ к умениям коленопреклонения, которые имеют повышенную скорость снарядов. Вы всё ещё можете совершать уклонение, стоя на коленях. Коленопреклонение отменяется при смене оружия или использовании «Свободного действия»."
Your damage is increased.,Ваш урон увеличен.
Your explosions do extreme damage.,Ваши взрывы наносят экстремальный урон.
Your explosions do more damage.,Ваши взрывы наносят больше урона.
"Your first attack explodes, dealing extra damage to nearby enemies.","Ваша первая атака взрывается, нанося дополнительный урон ближайшим врагам."
"Your first weapon skill is replaced with your stealth attack, even when not stealthed.","Ваш первый навык оружия заменяется на атаку из невидимости, даже если вы не в невидимости."
Your frost spirit slams the ground and creates a cold snap that cleanses conditions from nearby allies.,"Ваш дух мороза бьёт по земле и выпускает заряд леденящего воздуха, который снимает состояния с союзников поблизости."
Your health cannot be reduced below zero.,Ваше здоровье не может опуститься ниже нуля.
"Your light aura detonates, damaging nearby foes and healing nearby allies.","Ваша аура света детонирует, нанося урон ближайшим врагам и исцеляя ближайших союзников."
"Your mech launches an explosive fist that detonates on hit, dealing defiance damage to enemies with active defiance bars. This skill is only used when you activate Skill 3 on your weapon.","Ваш мех выпускает взрывной кулак, который детонирует при попадании, нанося урон стойкости врагам с активной шкалой стойкости. Этот навык используется только при активации навыка 3 на вашем оружии."
Your next Dragon Trigger charges more quickly.,Ваш следующий Драконий рывок заряжается быстрее.
Your next attack delivers a chain-lightning strike.,Ваша следующая атака наносит удар молнией.
Your next attack is a critical hit.,Ваша следующая атака является критическим ударом.
Your next attack sets the target on fire.,Ваша следующая атака поджигает цель.
Your next centaur skill is empowered.,Ваш следующий навык кентавра усилен.
Your next spear attack is illuminated.,Ваша следующая атака копьём освещена.
Your next spear skill always critically strikes.,Ваш следующий навык копья всегда наносит критический удар.
Your next spear skill deals additional damage.,Ваш следующий навык копья наносит дополнительный урон.
Your next spear strike dazes.,Ваш следующий удар копьём ошеломляет.
Your next three attacks inflict bleeding.,Ваши следующие три атаки вызывают кровотечение.
Your next utility skill will recharge faster.,Ваш следующий вспомогательный навык перезаряжается быстрее.
Your next weapon skill will recharge faster.,Ваш следующий навык оружия перезаряжается быстрее.
Your outgoing damage is reduced by 25% per stack.,Ваш исходящий урон снижен на 25% за каждый стак.
Your outgoing strikes deal additional damage and restore your health.,Ваши исходящие удары наносят дополнительный урон и восстанавливают ваше здоровье.
"Your pet strikes nearby enemies with vines, removing boons. Disabled or defiant enemies are also slowed.
<c=@reminder>Disables include stun, daze, knockback, pull, knockdown, sink, float, launch, taunt, and fear.</c>","Ваш питомец атакует ближайших врагов лозами, снимая благословения. Ослабленные или сопротивляющиеся враги также замедляются.
<c=@reminder>Ослабление включает в себя оглушение, ошеломление, отталкивание, притягивание, нокдаун, погружение, всплытие, отбрасывание, провокацию и страх.</c>"
