english,translate
Superior Sigil of Blight,Высший сигил порчи
Superior Sigil of Blood,Высший сигил крови
Superior Sigil of Bloodlust,Высший сигил кровожадности
Superior Sigil of Bounty,Высший сигил награды
Superior Sigil of Bursting,Высший сигил взрыва
Superior Sigil of Celerity,Высший сигил скорости
Superior Sigil of Centaur Slaying,Высший сигил истребления кентавров
Superior Sigil of Chilling,Высший сигил холода
Superior Sigil of Cleansing,Высший сигил очищения
Superior Sigil of Concentration,Высший сигил концентрации
Superior Sigil of Corruption,Высший сигил порчи
Superior Sigil of Cruelty,Высший сигил жестокости
Superior Sigil of Debility,Высший сигил немощи
Superior Sigil of Demon Slaying,Высший сигил для уничтожения демонов
Superior Sigil of Demons,Высший сигил демонов
Superior Sigil of Destroyer Slaying,Высший сигил уничтожения разрушителей
Superior Sigil of Doom,Высший сигил рока
Superior Sigil of Draining,Высший сигил похищения жизненной силы
Superior Sigil of Dreams,Высший сигил сновидений
Superior Sigil of Earth,Высший сигил земли
Superior Sigil of Elemental Slaying,Высший сигил для поражения элементалей
Superior Sigil of Energy,Высший сигил энергии
Superior Sigil of Fire,Высший сигил огня
Superior Sigil of Force,Высший сигил силы
Superior Sigil of Frailty,Высший сигил слабости
Superior Sigil of Frenzy,Высший сигил бешенства
Superior Sigil of Generosity,Высший сигил щедрости
Superior Sigil of Geomancy,Высший сигил геомантии
Superior Sigil of Ghost Slaying,Высший сигил для уничтожения призраков
Superior Sigil of Grawl Slaying,Высший сигил за убийство граулов
Superior Sigil of Hobbling,Высший сигил хромоты
Superior Sigil of Hologram Slaying,Высший сигил истребления голограмм
Superior Sigil of Hydromancy,Высший сигил гидромантии
Superior Sigil of Ice,Высший сигил льда
Superior Sigil of Icebrood Slaying,Высший сигил за победу над Ледяным Бродом
Superior Sigil of Impact,Высший сигил удара
Superior Sigil of Incapacitation,Высший сигил обездвиживания
Superior Sigil of Justice,Высший сигил Справедливости
Superior Sigil of Karka Slaying,Высший сигил за убийство карка
Superior Sigil of Leeching,Высший сигил вампиризма
Superior Sigil of Life,Высший сигил жизни
Superior Sigil of Luck,Высший сигил удачи
Superior Sigil of Mad Scientists,Высший сигил безумных учёных
Superior Sigil of Malice,Высший сигил злобы
Superior Sigil of Mischief,Высший сигил озорства
Superior Sigil of Momentum,Высший сигил движения
Superior Sigil of Nullification,Высший сигил аннулирования
Superior Sigil of Ogre Slaying,Высший сигил для убийства огра
Superior Sigil of Paralyzation,Высший сигил паралича
Superior Sigil of Perception,Высший сигил восприятия
Superior Sigil of Peril,Высший сигил опасности
Superior Sigil of Purity,Высший сигил чистоты
Superior Sigil of Rage,Высший сигил ярости
Superior Sigil of Rending,Высший сигил разрывания
Superior Sigil of Renewal,Высший сигил обновления
Superior Sigil of Restoration,Высший сигил восстановления
Superior Sigil of Ruthlessness,Высший сигил безжалостности
Superior Sigil of Serpent Slaying,Высший сигил победы над змеями
Superior Sigil of Severance,Высший сигил разрыва
Superior Sigil of Smoldering,Высший сигил тления
Superior Sigil of Smothering,Высший сигил удушения
Superior Sigil of Sorrow,Высший сигил скорби
Superior Sigil of Speed,Высший сигил скорости
Superior Sigil of Stamina,Высший сигил выносливости
Superior Sigil of Strength,Высший сигил мощи
Superior Sigil of the Night,Высшего сигила ночи
Superior Sigil of the Stars,Высший сигил звёзд
Superior Sigil of Torment,Высший сигил мучений
Superior Sigil of Transference,Высший сигил переноса
Superior Sigil of Undead Slaying,Высший сигил против нежити
Superior Sigil of Venom,Высший сигил яда
Superior Sigil of Vision,Высший сигил прозрения
Superior Sigil of Water,Высший сигил воды
Superior Sigil of Wrath,Высший сигил ярости
Superior Skelk Liver,Высшая шкура скелка
Superior Staff Woodworking Tools,Высшие столярные инструменты для посоха
Superior Sword Forging Tools,Высшие кузнечные инструменты для меча
Superior Trebuchet Blueprint,Чертёж улучшенного требушета
Superior Warhorn Forging Tools,Инструменты для ковки боевого рога превосходного качества
Supple Leather Boots Skin,Облик сапог из мягкой кожи
Supple Leather Coat Skin,Облик куртки из мягкой кожи
Supple Leather Gloves Skin,Облик перчаток из мягкой кожи
Supple Leather Leggings,Гибкие кожаные поножи
Supple Leather Leggings Skin,Облик поножей из мягкой кожи
Supple Leather Mask,Гибкая кожаная маска
