english,translate
"%str1%%str2%Schwere ""Wahrer Blick""-Stiefel%str3%%str4%","%str1%%str2%Schwere ""Wahrer Blick""-Stiefel%str3%%str4%"
"%str1%, you are a proven friend of Michotl. Your efforts have helped our village and we offer our heartfelt thanks. Please come visit us again. You are welcome here any time.

—Huelic","%str1%, вы — проверенный друг Мичотль. Ваши усилия помогли нашей деревне, и мы приносим вам нашу сердечную благодарность. Пожалуйста, приходите к нам снова. Мы будем рады видеть вас в любое время.

—Huelic"
"%str1%: Es ist gut, dass Ihr uns aufgesucht habt.","Хорошо, что вы нас навестили %str1%."
"%str1%: Meine Verwandten scheinen Euch zu mögen, und ich kann mir gut vorstellen warum.","Мои родственники, кажется, вас любят, и я понимаю почему %str1%."
"+10%% Outgoing Healing
+30 Expertise
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","+10 %% Исходящее лечение
+30 Экспертизы
+10 %% Кармы
+5 %% Получаемого опыта
+20 %% Шанса найти магические предметы
+20 %% Шанса найти золото
+10 %% Получаемого опыта для развития"
"+10%% Outgoing Healing
+40 to All Attributes
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","+10 %% Исходящее лечение
+40 ко всем характеристикам
+10 %% Кармы
+5 %% к получаемому опыту
+20 %% к шансу найти магические предметы
+20 %% к шансу найти золото
+10 %% к получаемому опыту мира"
"+25 Power
+25 Ferocity
+12 Precision
+12 Vitality","+25 силы
+25 ярости
+12 точности
+12 к жизненной силе"
"-10%% Incoming Damage
+60 Condition Damage
+50 Expertise
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+60 урона от состояний
+50 мастерство
+10%% карма
+5%% ко всему получаемому опыту
+20%% шанс найти магические предметы
+20%% шанс найти золото
+10%% получаемый опыт за события"
"-10%% Incoming Damage
+60 Power
+50 Ferocity
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+60 силы
+50 ярости
+10%% кармы
+5%% ко всему получаемому опыту
+20%% шанс найти магические предметы
+20%% шанс найти золото
+10%% опыта за прохождение событий"
"-10%% Incoming Damage
+60 Power
+50 Precision
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% Урон от входящих атак
+60 Силы
+50 Точности
+10%% Кармы
+5%% ко всему получаемому опыту
+20%% к шансу найти магические предметы
+20%% к шансу найти золото
+10%% к получаемому опыту мира"
"-15%% Incoming Condition Duration
+45 to All Attributes
+1%% All Experience Gained","-15%% Длительность активных эффектов снижена
+45 ко всем характеристикам
+1%% Получаемый опыт увеличен"
"-20%% Incoming Condition Duration
+50 Concentration
+40 Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-20%% Длительность входящих эффектов
+50 Концентрация
+40 Сила
+10%% Карма
+5%% Ко всем получаемым очкам опыта
+20%% Шанс найти магические предметы
+20%% Шанс найти золото
+10%% Получаемые очки WXP"
