hash,шов,перевод
574ffe877cc14e02,буква+заглавная,Пассивный эффект печати: Улучшенная силаАктивный эффект печати: Сбейте с ног и нанесите урон врагу.
128b6b208aef3584,буква+знак+цифра,"-16%% входящего урона, пока оглушены, сбиты с ног или отброшены-10%% длительности входящих состояний+10%% опыта за убийства"
59d23b3effc9d90d,буква+знак+цифра,+10%% Исходящее исцеление+100 Сила+70 Свирепость+10%% Карма+5%% Весь получаемый опыт+20%% Поиск магии+20%% Поиск золота+10%% Получаемый опыт WvW
7851c920c3a8deb0,буква+знак+цифра,"-16%% входящего урона, пока оглушены, сбиты с ног или отброшены-10%% длительности входящих состояний+10%% опыта за убийства"
03c0f4864e081c06,точка+заглавная,"Добродетель: Регенерация здоровья.Активация: Бросается вперёд, исцеляя союзников в области при остановке."
076e3dd86866356f,точка+заглавная,Пассивный эффект печати: Улучшенный урон от состояний.Активный эффект печати: Оглушите врага.
09a8faccddbb162c,точка+заглавная,Пассивный эффект печати: Снижает входящий урон от ударов.Активный эффект печати: Обездвиживает врага и накладывает кровотечение.
0c5c2eae1049ea99,точка+заглавная,"Команда. Ударьте врагов вокруг вашей цели, накладывая уязвимость и распространяя уязвимость с основной цели на ближайших врагов.Эхо. Накладывает мощь на союзников и даёт адреналин в зависимости от количества пораженных врагов через заданный интервал или после использования вами навыка серии."
0ca984e9047916b6,точка+заглавная,Пассивный эффект печати: Регенерирует одну дополнительную единицу инициативы каждые десять секунд.Активный эффект печати: Теневой шаг к врагу.
0fcbf3dd5de7c8b7,точка+заглавная,Команда. Исцелите себя и союзников в области вокруг вас.Эхо. Снова исцеляет и снимает состояния с союзников через заданный интервал или после использования вами навыка серии.
121b8c0dd7335752,точка+заглавная,Пассивный эффект печати: Регенерация здоровья.Активный эффект печати: Исцеляет вас и даёт сопротивление.
123efd2dac8998f9,точка+заглавная,"Перегрузка. Использует магию воздуха для призыва грозового облака, которое неоднократно поражает ближайших врагов. По завершении заклинания наделяет союзников электричеством и создает статическую область, которая продолжает поражать врагов с тем же интервалом.Использование этого навыка увеличивает время перезарядки настройки."
