english,translate
Your Help Is Appreciated,Ваша помощь ценна
Your Performance Review,Ваш аттестационный отчёт
Your aid against the centaurs around Earthworks BluffShould be 'Earthworks Camp' and Earthlord's Gap was monumental. Trying to take the fight to them has been an uphill battle for too long.,Ваша помощь в борьбе с кентаврами вокруг Earthworks Bluff и Earthlord's Gap была неоценимой. Слишком долго попытки дать им отпор были тяжёлой битвой.
"Your appearance here could not have come at a more opportune moment. Maintaining the power grid is a perpetual struggle, and we certainly appreciate your assistance with our efforts during the recent challenge.

—Ahjj","Ваше появление здесь было как нельзя кстати. Поддержание энергосети — это бесконечная борьба, и мы очень ценим вашу помощь в наших усилиях во время недавних испытаний.

—Ahjj"
"Your assistance at Rocklair has advanced my research tenfold! Things have been booming—mostly intentionally. With your help, I've got more imps than I know what to do with. I'm sure to become famous with all this new data, so you can go ahead and brag about how you know me. It'll benefit us both. See you around, %str1%.

—Suki","Ваша помощь в Роклайре позволила мне продвинуть мои исследования в десять раз! У меня тут настоящий бум — и в основном это было запланировано. Благодаря вам у меня теперь столько импов, что я не знаю, что с ними делать. Я уверена, что стану знаменитой благодаря этим новым данным, так что можете смело рассказывать всем, что вы меня знаете. Это пойдёт на пользу нам обоим. Увидимся, %str1%.

—Суки"
"Your assistance is valued, Commander.","Ваша помощь ценна, Коммандир."
"Your assistance with the grawl was most appreciated. Those pea-brained mongrels are still gadding about the Searing Crystal, but I took the upmost delight in watching you deal with them.","Ваша помощь с граулами была весьма кстати. Эти безмозглые дворняги все ещё околачиваются у Опаляющего Кристалла, но я получил огромное удовольствие, наблюдая, как вы с ними расправляетесь."
"Your assistance with the research at Demon's Maw has not gone unnoticed. Stumm and our other backers would like to show their appreciation by granting you access to their varied wares—for a price. Stop by when you're free, but don't tarry too long.","Ваша помощь в исследованиях в Demon's Maw не осталась незамеченной. Stumm и другие наши спонсоры хотели бы выразить свою признательность, предоставив вам доступ к своим разнообразным товарам — за определенную плату. Заглядывайте, когда будете свободны, но не задерживайтесь слишком долго."
Your assistance with the skritt has been very helpful to my krewe. I don't know how you managed to keep your composure while dealing with the mangy rodents. The skritt are such a nuisance. They'll never learn that hoarding choatic material is hazardous to their health.,"Ваша помощь со скриттами была очень полезна моему отряду. Не знаю, как вам удалось сохранить самообладание, имея дело с этими паршивыми грызунами. Скритты — такие вредители. Они никогда не поймут, что копить хаотический материал опасно для их здоровья."
"Your assistance with the skritt has been very helpful to my krewe. I don't know how you managed to keep your composure while dealing with the mangy rodents. The skritt are such a nuisance. They'll never learn that hoarding choatic material is hazardous to their health.

—Pachoo","Ваша помощь со скриттами была очень полезна для моего крю. Не знаю, как вам удалось сохранять самообладание, имея дело с этими паршивыми грызунами. Скритты — такая обуза. Они никогда не поймут, что копить хаотическую материю опасно для их здоровья.

—Pachoo"
"Your contributions here have been invaluable, and we thank you. It takes constant vigilance to contain the Sons of Svanir to the south and fend off the icebrood to the north.But with assistance such as yours, we'll eventually be able to defeat these foes. If you'd like to continue helping, please head to Skyheight Steading; I've heard they're looking for help too.","Ваш вклад здесь неоценим, и мы благодарим вас. Требуется постоянная бдительность, чтобы сдерживать Sons of Svanir на юге и отбиваться от ледяных отродий на севере.Но с такой помощью, как ваша, мы в конечном итоге сможем победить этих врагов. Если хотите продолжить помогать, пожалуйста, направляйтесь в Skyheight Steading; я слышал, они тоже ищут помощи."
"Your efforts are much appreciated, %str1%. Unlike Bleent, you understand and respect the order and regulations for ooze testing. With more sensible minds like yours on my side, I just may be able to stop Bleent's research some day.

—Hrouda","Ваши усилия высоко ценятся, %str1%. В отличие от Bleent, вы понимаете и уважаете порядок и правила тестирования слизи. С такими здравомыслящими людьми, как вы, на моей стороне, я, возможно, когда-нибудь смогу остановить исследования Bleent.

—Hrouda"
Your efforts have not gone unnoticed.,Ваши усилия не остались незамеченными.
"Your efforts to restore balance to the area are appreciated. While the dredge may have created a great fissure in the ground, their threat has been mitigated for now. With continued vigilance and Koda's grace, perhaps some day we will find a way to bridge the fissure between our peoples.","Ваши усилия по восстановлению баланса в этом районе ценятся. Хотя dredge, возможно, и создали огромную трещину в земле, их угроза на данный момент уменьшена. При постоянной бдительности и милости Koda, возможно, однажды мы найдём способ преодолеть раскол между нашими народами."
Your empathy and compassion have convinced many of our people to take up arms against our cruel oppressors. May Kormir bless you and your efforts.,Ваше сочувствие и сострадание убедили многих наших людей взяться за оружие против наших жестоких угнетателей. Пусть Kormir благословит вас и ваши начинания.
Your face is welcome in any season.,Ваше лицо здесь всегда рады видеть.
Your help getting prickleberries was good. You killed bears and the Flame Legion. You are a strong fighter! We thank you.,Твоя помощь с колючими ягодами была хороша. Ты убил медведей и Flame Legion. Ты сильный боец! Мы благодарим тебя.
"Your help in Ascalon Settlement has made a world of difference. It's good to know there are those who respect our ways, honor our traditions and are willing to help fight for our legacy, regardless of personal opinion. You will not be forgotten.

—Kiryn Brant","Ваша помощь в Поселении Аскалон изменила всё. Приятно знать, что есть те, кто уважает наши пути, чтит наши традиции и готов сражаться за наше наследие, невзирая на личное мнение. Вас не забудут.

—Kiryn Brant"
"Your help in defending our refuge has been invaluable. If ever there was an example of one destined to be reborn as a kodan, I could find no one more deserving. You will always be welcome at the Path of Starry Skies. Thank You.","Ваша помощь в защите нашего убежища неоценима. Если когда-либо и был пример того, кому суждено переродиться коданом, то я не могу найти никого более достойного. Вам всегда будут рады на Пути Звёздных Небес. Спасибо."
Your help in the Bonestrand has been invaluable. I believe I can count on you—unlike my sister!,"Ваша помощь в Bonestrand была неоценима. Думаю, я могу на вас положиться — в отличие от моей сестры!"
"Your help is appreciated, Wayfinder.","Твоя помощь ценна, Проводник."
"Your help with the Risen has given some breathing room to the allied orders at Caer Evermore. The Vigil and Priory rarely see eye to eye, but we may be starting to see the value of working together toward a common goal.","Ваша помощь с Восставшими дала передышку союзным орденам в Caer Evermore. Дозор и Приорат редко сходятся во мнениях, но мы, возможно, начинаем видеть ценность совместной работы ради общей цели."
"Your help with the Risen has given some breathing room to the allied orders at Caer Evermore. The Vigil and Priory rarely see eye to eye, but we may be starting to see the value of working together toward a common goal.

—Cyara","Твоя помощь в борьбе с Risen дала союзным орденам в Caer Evermore возможность перевести дух. Бдительные и Приорат редко сходятся во мнениях, но, возможно, мы начинаем видеть ценность совместной работы ради общей цели.

—Cyara"
"Your help? Recent, but change is seen already. Inventors, they mostly talk-talk because no materials to build, not safe to scavenge. Now they still talk-talk but hands are busy making. We make things and make them go. We are proud. We are grateful. Thank you.

—Twitchok","Твоя помощь? Недавняя, но перемены уже видны. Изобретатели в основном только болтают, потому что нет материалов для строительства, небезопасно собирать мусор. Теперь они все ещё болтают, но руки заняты делом. Мы создаем вещи и заставляем их работать. Мы гордимся. Мы благодарны. Спасибо.

—Твитчок"
"Your helping hand with the poor refugees was a touch of comfort. The beacons you lit to guide them represent your own shining strength, and the food you gathered shows you to be a pillar of support. We are indebted to you.","Ваша помощь бедным беженцам стала для них утешением. Маяки, которые вы зажгли, чтобы направлять их, олицетворяют вашу собственную сияющую силу, а еда, которую вы собрали, показывает, что вы — опора для других. Мы в долгу перед вами."
Your invaluable contribution toward the mill's upkeep have made it possible for us to be up and running again.,Ваш неоценимый вклад в содержание лесопилки позволил нам снова встать на ноги.
Your raids on the Sons of Svanir have been a huge help to us. I just thought you should know. Thanks!,"Твои набеги на Сынов Svanir стали для нас огромной помощью. Я просто хотел, чтобы ты знал. Спасибо!"
Your services have made the mansion substantially more inhabitable. It is a long-awaited pleasure to be able to walk these halls and not be constantly afraid of pirate ambushes and traps. Thank you for your assistance.,Ваши услуги сделали особняк значительно более пригодным для жизни. Это долгожданное удовольствие — иметь возможность ходить по этим залам и не бояться постоянно пиратских засад и ловушек. Спасибо за вашу помощь.
"Your visit gave me a lot to think about. It's more dangerous away from the Grove than I ever expected, and I'd been considering going back. But now, I've seen how brave souls help others—like you helped us—and it's given me the courage to carry on. Thank you. Good luck with your future journeys.","Твой визит заставил меня о многом задуматься. За пределами Grove гораздо опаснее, чем я ожидал, и я подумывал о возвращении. Но теперь я увидел, как храбрые души помогают другим — так же, как ты помог нам, — и это придало мне мужества двигаться дальше. Спасибо. Удачи в твоих будущих путешествиях."
"Your weakness for reading notes on the battlefield did not prevent you from honoring our resplendent leader with the deaths of the Forged at the Foundry. Well done, and Praise Joko!","Ваша слабость к чтению записок на поле боя не помешала вам почтить нашего блистательного лидера смертями Кованых в Кузнице. Отлично сработано, и хвала Джоко!"
"Your work here has been an invaluable contribution to the Pact's efforts. It's vital that we obtain as much assistance dealing with our smaller threats here so we can direct our resource toward the icebrood to the north. We won't forget what you've done for us this day. Good travels, %str1%.","Ваша работа здесь стала неоценимым вкладом в усилия Pact. Жизненно важно, чтобы мы получили как можно больше помощи в борьбе с нашими мелкими угрозами здесь, чтобы мы могли направить наши ресурсы на ледяных отродий на севере. Мы не забудем того, что вы сделали для нас в этот день. Счастливого пути, %str1%."
"Your work's been most effective. While the dredge still hold the cave, their influence is weakening, and the work you did in sabotaging their weaponry has been critical to our success. Thank you, <player name>.","Ваша работа была весьма эффективной. Хотя дреджи все ещё удерживают пещеру, их влияние ослабевает, а работа, которую вы проделали по саботажу их вооружения, была критически важна для нашего успеха. Спасибо, <player name>."
"Yours in academia,","С уважением, академический отдел,"
—Alarin,—Аларин
—Arias,—Ариас
—Aurelio,—Аурелио
—Bjarni,—Бьярни
—Blopp,— Блопп
—Blork,—Блорк
—Bronson,— Бронсон
—Caillech,— Кайлех
—Carmel,—Кармел
—Cuadinti,—Куадинти
—Cyara,—Сайара
—Daphne,—Дафна
—Doolsileep,—Дулислип
—Drakkitoka,—Драккитока
—Duidda,—Дуидда
—Elain,—Элейн
—Glaxx,—Глакс
