english,translate
Awaiting Your Arrival,Ожидаем вашего прибытия
Awakened Abomination,Пробужденная мерзость
Awakened Canid,Пробужденный псоглав
Awakened Caster,Пробужденный заклинатель
Awakened Citizen,Пробужденный горожанин
Awakened Earthstalker,Пробужденный землекоп
Awakened Exile,Пробужденный изгнанник
Awakened General,Генерал пробужденных
Awakened Inquest,Пробужденный член Инквеста
Awakened Inquest Enforcer,Пробужденный силовик Инквеста
Awakened Inquest Technician,Пробужденный техник Инквеста
Awakened Insect Swarm,Рой пробужденных насекомых
Awakened Invader,Пробужденный захватчик
Awakened Mounts Pack,Набор пробуждённых скакунов
Awakened Nightwalker,Пробужденный ночной охотник
Awakened Recruit,Пробужденный новобранец
Awakened Sailor,Пробужденный матрос
Awakened Sandshifter,Пробужденный пескоходец
Awakened Scavenger,Пробуждённый Мусорщик
Awakened Servant Tooraj,Пробуждённый слуга Турадж
Awakened Skirmisher,Пробужденный застрельщик
Awakened Soldier,Пробуждённый солдат
Awakened Sylvari,Пробужденный сильвари
Awakened Trainer,Пробужденный дрессировщик
Awakened Trebuchet,Пробужденный требушет
Awakened Vessel,Пробужденный сосуд
Awakened Windcaller,Пробужденный ветроплет
Axel Trueshot,Аксель Меткий Стрелок
Axemaster Hareth,Мастер топоров Харет
Aximus Steelcrusher,Аксимус Сталекрош
Axol,Аксол
Ayana,Аяна
Ayda,Айда
Ayn Burnheart,Эйн Сердцежог
Aynna Quicksight,Айнна Быстроглазая
Ayumi,Аюми
Azalus,Азалус
Azarr Softhoof,Азар Мягкое Копыто
Azira,Азира
Azmer,Азмер
Aztatl,Ацтатль
Azuki,Азуки
Azula Quenchsteel,Азула Гасящая Сталь
Azzam,Аззам
Baby,Малыш
Baby Siege Turtle,Детеныш осадной черепахи
Bachlag,Бахлаг
Badazar,Бадазар
Badazar's Champion,Чемпион Бадазара
Badger,Барсук
Baduc,Бадук
Baedren,Баэдрен
Bagairt,Багарт
Bagel,Бейгл
Baghira,Багира
Bagran the Pearl Merchant,"Багран, торговец жемчугом"
Bahir,Бахир
Bailey,Бейли
Bailiff,Бейлиф
Bakkin,Баккин
Bakri,Бакри
Bakus,Бакус
Balam Ri,Балам Ри
Balint,Балинт
Balkor,Балкор
Ballista,Баллиста
Ballista Geargrind,Баллиста Шестерёнка
Balloon Pilot,Пилот аэростата
Baloop,Балуп
Balteus Bloodletter,Балтей Кровопуск
Balthazar,Бальтазар
