english,translate
Ahdashim,Адашим
Ameyalli,Амеялли
Arah,Арах
Ashford,Эшфорд
Astorea,Асторея
Caer Astorea,Каэр Асторея
Citadel of Zakiros,Цитадель Закироса
Concordia,Конкордия
Echovald,Эховальд
Echovald Adventure Tours,Приключения Эховальда
Echovald Forest,Эховальдский лес
Echovald Wilds,Эховальдские дебри
Fort Concordia,Форт Конкордия
Gang War of Echovald,Бандитская война в Эховальде
Incinergen,Инсинерген
Jahai,Джахай
Jahai Fortress,Крепость Джахай
Khan-Ur,Хан-Ур
Last Stand at Southsun,Последний рубеж на Южном Солнце
MinSec,МиньСек
Prosperity,Процветание
Ruined City of Arah,Разрушенный город Арах
Salma,Сальма
Silverwastes,Серебряные пустоши
Smokestead,Смоукстед
Southsun,Южное Солнце
Windshear,Ветрорез
Xunlai Storage House,Хранилище Сюньлай
Zakiros,Закирос
Zalisco,Залиско
