english,translate
"""So I see. Yes, this is good quality too. Consider yourself redeemed.""","«Так я понимаю. Да, это тоже хорошее качество. Считай себя искупленным»."
"""So an antiquary is a collector, then?""","— Значит, антиквар — это коллекционер?"
"""So big, so shiny... Must show others!""","«Такой большой, такой блестящий... Надо показать другим!»"
"""So close to the action, you mean? Yes. But, I'm a soldier as well as a doctor. My place is with my troops, even if it increases the risk of getting a centaur hoof print in the middle of my forehead.""","«Так близко к месту действия, вы имеете в виду? Да. Но я не только врач, но и солдат. Мое место — в моих войсках, даже если это увеличивает риск получить отпечаток копыта кентавра посередине лба»."
"""So close, yet so far.""","«Так близко, но так далеко»."
"""So cute, it's deadly""","«Так мило, это смертельно»"
"""So far, it's been pretty easy to pretend to be one of the carnival performers. But this next performance is going to be the Big Time...you have to fool the Ringmaster himself!""",«До сих пор было довольно легко притвориться одним из артистов карнавала. Но следующее представление будет большим событием... вам придётся обмануть самого манежа!»
"""So glad to see you, Commander. We've been spending daylight hours combating the Mordrem and local wildlife around our camp, but at night, it's all we can do to secure and hold rally points as the jungle gets even more hostile.""","«Так рад видеть вас, командир. Днём мы сражаемся с мордремами и местными дикими животными вокруг нашего лагеря, но ночью это всё, что мы можем сделать, чтобы обезопасить и удержать точки сбора, поскольку джунгли становятся ещё более враждебными»."
"""So good to see you, Minister.""","— Так приятно видеть вас, министр."
"""So it's even worse than it looks. You can count on us, boss. We're ready to go— just say the word.""","«Так что это даже хуже, чем кажется. Вы можете рассчитывать на нас, босс. Мы готовы идти — просто скажите слово»."
"""So long as it's a battle we're going to win, I'd agree.""","«Пока это битва, которую мы собираемся выиграть, я бы согласился»."
"""So many bags of bloodstone dust, and empty vials.""",«Так много мешков с кровавой пылью и пустых флаконов».
"""So many people willing to leave with the Vanguard and abandon all they'd ever known—was it pride for the unit that spurred them on, or was it fear of their king?""","«Так много людей готовы уйти с «Авангардом» и отказаться от всего, что они когда-либо знали — была ли это гордость за подразделение, которая их подстегивала, или это был страх перед своим королем?»"
"""So many upgrades, so many papers to file. It's a busy job!""","«Так много обновлений, так много документов, которые нужно подать. Это напряженная работа!»"
"""So nice, we'll build them twice.""","«Так здорово, мы построим их дважды»."
"""So take pride in your work, Buzzie! You too, visitor. Sweet as honey, you are to me.""","«Так что гордись своей работой, Баззи! Ты тоже, посетитель. Ты для меня сладок, как мед»."
"""So there I was, covered in aether goo, and this merchant had the nerve to ask if I'd guard his yak.""","«И вот я был весь в эфирной слизи, и этот торговец имел наглость спросить, буду ли я охранять его яка»."
"""So there was a plan after all—beyond getting me sloshed, I mean.""","— Значит, все-таки был план — я имею в виду, помимо того, что меня облили."
"""So they mask themselves in hate,""","«Поэтому они маскируются ненавистью»,"
"""So this is how legends are made... Or rather, crafted.""","«Так вот как создаются легенды… Вернее, придумываются»."
"""So this is where I'm to live now. I wonder how many others are part of this """"Astral Ward.""""""","«Итак, вот где мне теперь жить. Интересно, сколько ещё людей являются частью этой «Астральной стражи»»»."
"""So what are you going to do, Demmi?""","— Так что ты собираешься делать, Демми?"
"""So while it seems there is nothing but randomness and chaos within the Mists, everything therein must obey a base set of rules.""","«Поэтому, хотя кажется, что в Туманах нет ничего, кроме случайности и хаоса, все там должно подчиняться базовому набору правил»."
"""So, About That Infinity Ball""","«Итак, об этом бесконечном шаре»"
"""So, I hear. Wish I could stay and chat.""","«Итак, я слышу. Хотел бы я остаться и поболтать»."
