english,translate
A magnificent depiction of the Spirit of Raven.,Великолепное изображение Духа Ворона.
A simple commemoration of a momentous event.,Простое напоминание о знаменательном событии.
A simple remembrance of a fallen comrade.,Простое воспоминание о павшем товарище.
A simple sign for directing passersby.,Простой знак для направления прохожих.
Access the Guild Initiative's central office in Lion's Arch.,Получите доступ к центральному офису Гильдии в Львиной Арке.
Add a cloth node to the workshop that randomly generates either jute or wool scraps when harvested.,"Добавить узел ткани в мастерскую, случайным образом генерирующий лоскуты джута или шерсти при сборе."
"Add a free-for-all coordinator to the arena, allowing for teamless brawling.","Добавить координатора «все против всех» на арену, позволяющего бескомандные потасовки."
"Add a green team coordinator to the arena, allowing for three-way team brawling.","Добавить координатора зелёной команды на арену, позволяющего трёхсторонние командные бои."
"Add a guild armorer to the market, from whom basic guild armor skins can be purchased.","Добавить гильдейского бронника на рынок, у которого можно приобрести базовые облики гильдейской брони."
"Add a guild weaponsmith to the market, selling a selection of guild weapon skins.","Добавить гильдейского оружейника на рынок, продающего выбор обликов гильдейского оружия."
Add a leather node to the workshop that randomly generates either rawhide or thin leather when harvested.,"Добавить узел кожи в мастерскую, случайным образом генерирующий сырую или тонкую кожу при сборе."
Add a lumber node to the workshop that randomly generates either green or soft logs when harvested.,"Добавьте в мастерскую узел древесины, который при сборе случайным образом даёт зелёные или мягкие брёвна."
Add a merchant to the market who sells basic decorations for your guild hall.,"Добавьте на рынок торговца, продающего базовые украшения для зала гильдии."
Add a merchant to the market who sells miniatures emblazoned with your guild emblem.,"Добавьте на рынок торговца, продающего миниатюры с инсигнией вашей гильдии."
"Add a minstrel at the tavern who can set an anthem for your guild, which will play at moments of triumph.","Добавьте в таверну менестреля, который может установить гимн для вашей гильдии, звучащий в моменты триумфа."
Add a personal enhancement at the tavern that increases how often you get map bonuses.,"Добавьте в таверну личное улучшение, увеличивающее частоту получения бонусов карты."
Add a personal enhancement at the tavern that increases the chance of finding magic items.,"Добавьте в таверну личное улучшение, увеличивающее шанс найти магические предметы."
Add a personal enhancement at the tavern that increases the chance of getting a critical success when crafting an item.,"Добавьте в таверну личное улучшение, увеличивающее шанс критического успеха при создании предмета."
Add a personal enhancement at the tavern that increases the chance of getting a critical success when harvesting an item.,"Добавьте в таверну личное улучшение, увеличивающее шанс критического успеха при сборе предмета."
Add a personal enhancement at the tavern that increases the rate at which PvP reward tracks progress.,"Добавьте в таверну личное улучшение, увеличивающее скорость продвижения по трекам наград PvP."
Add a personal enhancement at the tavern that increases the rate of WvW reward-track gain.,"Добавьте в таверну личное улучшение, увеличивающее скорость получения треков наград WvW."
Add a personal enhancement at the tavern that increases the rate of WXP gain.,"Добавьте в таверне личное усиление, увеличивающее скорость получения опыта."
"Add a portal device to the guild hall, allowing guild members to quickly travel as a group to missions and other destinations.","Добавьте в зал гильдии портальное устройство, позволяющее членам гильдии быстро перемещаться группой к заданиям и другим местам."
Add a selectable personal enhancement at the tavern which will increase the rate of experience gain.,"Добавьте в таверну выбираемое личное улучшение, которое увеличит скорость получения опыта."
Add a selectable personal enhancement at the tavern which will increases the rate of karma gain.,"Добавьте в таверну выбираемое личное улучшение, которое увеличит скорость получения кармы."
Add a trader merchant to the market whose stock rotates daily. Guild members may purchase only one item each day.,"Добавьте на рынок торговца, чей ассортимент меняется ежедневно. Члены гильдии могут покупать только один предмет в день."
"Add an invulnerability coordinator to the arena, allowing for brawling without taking damage.","Добавьте координатора неуязвимости на арену, позволяющего драться без получения урона."
"Add an obstacles coordinator to the arena, allowing players to enter the arena as a decorator and place walls.","Добавьте координатора препятствий на арену, позволяющего игрокам входить на арену в роли декоратора и размещать стены."
Add an option for the obstacles coordinator to turn on a boundary around the brawling area to prevent ring-outs.,"Добавьте настройку для координатора препятствий, включающую границу вокруг зоны боя, чтобы предотвратить вылет за пределы ринга."
Add an ore node to the workshop that randomly generates either copper or iron when mined.,"Добавьте рудный узел в мастерскую, который при добыче случайным образом даёт либо медь, либо железо."
Add ancient logs as a possible output from the workshop's lumber synthesizer.,Добавьте древние брёвна как возможный результат работы синтезатора древесины в мастерской.
Add coarse leather as a possible output from the workshop's leather synthesizer.,Добавить грубую кожу как возможный результат работы кожевенного синтезатора мастерской.
Add cotton scraps as a possible output from the workshop's cloth synthesizer.,Добавить хлопковые лоскуты как возможный результат работы тканевого синтезатора мастерской.
Add elder logs as a possible output from the workshop's lumber synthesizer.,Добавить старые бревна как возможный результат работы лесного синтезатора мастерской.
Add gold as a possible output from the workshop's ore synthesizer.,Добавить золото как возможный результат работы рудного синтезатора мастерской.
Add gossamer scraps as a possible output from the workshop's cloth synthesizer.,Добавить лоскуты газовой ткани как возможный результат работы тканевого синтезатора мастерской.
Add hard logs as a possible output from the workshop's lumber synthesizer.,Добавить твердые бревна как возможный результат работы лесного синтезатора мастерской.
