english,translate
Carrion Flame Pistol of Air,Пламенный пистолет воздуха Падальщика
Carrion Flame Pistol of Corruption,Пламенный пистолет порчи Падальщика
Carrion Flame Pistol of Energy,Пламенный пистолет энергии Падальщика
Carrion Flame Pistol of Water,Пламенный пистолет воды Падальщика
Carrion Flame Rifle,Пламенная винтовка Падальщика
Carrion Flame Rifle of Air,Пламенная винтовка воздуха Падальщика
Carrion Flame Rifle of Corruption,Пламенная винтовка порчи Падальщика
Carrion Flame Rifle of Energy,Пламенная винтовка энергии Падальщика
Carrion Flame Rifle of Water,Пламенная винтовка воды Падальщика
Carrion Flame Scepter,Пламенный скипетр Падальщика
Carrion Flame Scepter of Air,Пламенный скипетр воздуха Падальщика
Carrion Flame Scepter of Corruption,Пламенный скипетр порчи Падальщика
Carrion Flame Scepter of Energy,Пламенный скипетр энергии Падальщика
Carrion Flame Scepter of Water,Пламенный скипетр воды Падальщика
Carrion Flame Short Bow,Пламенный короткий лук Падальщика
Carrion Flame Short Bow of Air,Пламенный короткий лук воздуха Падальщика
Carrion Flame Short Bow of Corruption,Пламенный короткий лук порчи Падальщика
Carrion Flame Short Bow of Energy,Пламенный короткий лук энергии Падальщика
Carrion Flame Short Bow of Water,Пламенный короткий лук воды Падальщика
Carrion Flame Spear,Пламенное копьё Падальщика
Carrion Flame Spear of Air,Пламенное копьё воздуха Падальщика
Carrion Flame Spear of Corruption,Пламенное копьё порчи Падальщика
Carrion Flame Spear of Energy,Пламенное копьё энергии Падальщика
Carrion Flame Spear of Water,Пламенное копьё воды Падальщика
Carrion Flame Speargun,Пламенное гарпунное ружьё Падальщика
Carrion Flame Speargun of Air,Пламенное гарпунное ружьё воздуха Падальщика
Carrion Flame Speargun of Corruption,Пламенное гарпунное ружьё порчи Падальщика
Carrion Flame Speargun of Energy,Пламенное гарпунное ружьё энергии Падальщика
Carrion Flame Speargun of Water,Пламенное гарпунное ружьё воды Падальщика
Carrion Flame Staff,Пламенный посох Падальщика
Carrion Flame Staff of Air,Пламенный посох воздуха Падальщика
Carrion Flame Staff of Corruption,Пламенный посох порчи Падальщика
Carrion Flame Staff of Energy,Пламенный посох энергии Падальщика
Carrion Flame Staff of Water,Пламенный посох воды Падальщика
Carrion Flame Trident,Пламенный трезубец Падальщика
Carrion Flame Trident of Air,Пламенный трезубец воздуха Падальщика
Carrion Flame Trident of Corruption,Пламенный трезубец порчи Падальщика
Carrion Flame Trident of Energy,Пламенный трезубец энергии Падальщика
