english,translate
"Combine 3 Mini Baron von Scrufflebutts in the Mystic Forge with a Pile of Crystalline Dust, an Obsidian Shard, and a Gift of Ascension.","Объедините 3 Мини-барона фон Скрэбблбаттса в Мистической кузнице с Горой кристаллической пыли, Осколком обсидиана и Даром вознесения."
"Combine 3 Mini Professor Mews in the Mystic Forge with a Pile of Crystalline Dust, an Obsidian Shard, and an Amber Quantic Dipole (dropped by creatures in scale 1–20 fractals).","Объедините 3 Мини-профессора Мьюза в Мистической кузнице с Горой кристаллической пыли, Осколком обсидиана и Янтарным квантическим диполем (выпадает с существ в масштабе 1–20 фракталов)."
"Combine 3 Minis of Mister Mittens in the Mystic Forge with a Pile of Crystalline Dust, an Obsidian Shard, and an Azure Denaturizing Agent (dropped by creatures in scale 21–50 fractals).","Объедините 3 Мини-мистера Миттенса в Мистической кузнице с Горой кристаллической пыли, Осколком обсидиана и Лазурным денатурирующим агентом (выпадает с существ в масштабе 21–50 фракталов)."
"Combine Charitable Gift Skritt minis, Wintersday Gifts, Flawless Snowflakes, and an Essence of Skrittish Charity in the Mystic Forge to make a Mini Munificent Gift Skritt.","Объедините миниатюры Милостивого дара скриттов, Подарки Зимнего дня, Безупречные снежинки и Сущность скриттской благотворительности в Мистической кузнице, чтобы создать Мини-щедрый дар скриттов."
"Combine Gift Skritt minis, Candy Canes, Flawless Snowflakes, and an Essence of Skrittish Charity in the Mystic Forge to make a Mini Charitable Gift Skritt.","Объедините миниатюры Дара скриттов, Леденцы, Безупречные снежинки и Сущность скриттской благотворительности в Мистической кузнице, чтобы создать Мини-милостивый дар скриттов."
Complete Convergence: Mount Balrior with gold timing for all encounters with challenge mode active.,Завершите Схождение: Гора Балриор с золотым временем для всех встреч с активным режимом испытания.
Complete the Old Tom collection.,Завершите коллекцию «Старый Том».
Complete the Spirit of the Tiger achievement.,Выполните достижение «Дух тигра».
Create in the Mystic Forge with mini snowballs.,Создайте в Мистической кузнице с мини-снежками.
Create in the Mystic Forge with mini tiny snowballs.,Создайте в Мистической кузнице с мини-крошечными снежками.
