english,translate
"%str1%,<br><br>Il semblerait que les Quaggans refusent catégoriquement de tourner la page. Nous écraserons jusqu'à la dernière boule de graisse encore vivante. Merci pour votre aide. N'hésitez pas à passer nous donner un coup de main pour défendre les lieux.– Erudit Tranchegoutte, du Prieuré de Durmand","%str1%,<br><br>Il semblerait que les Quaggans refusent catégoriquement de tourner la page. Nous écraserons jusqu'à la dernière boule de graisse encore vivante. Merci pour votre aide. N'hésitez pas à passer nous donner un coup de main pour défendre les lieux.– Erudit Tranchegoutte, du Prieuré de Durmand"
"***Dieses zerfledderte Bilderbuch wurde offenbar von einem Bärchen verfasst und illustriert. Den Einband ziert ein kleiner Tatzenabdruck.***    Es war einmal eine schläfrige verlassene Hütte am Rand von Erntehöhle. Aber diese Hütte war anders als alle anderen, denn sie hatte Beine! Sie waren so lang wie die Beine eines Reihers und so stark, als würden sie dem schnellsten Wanderling im Derby gehören.    Aber nicht nur die Beine waren das Besondere an dieser Hütte. Sie schnarchte auch noch! Jede Nacht. Laut und ausgiebig. Einige Bärlinge in der Nachbarschaft beklagten sich, weil sie wegen der Hütte nicht mehr schlafen konnten. Aber das donnernde Schnarchen war noch nicht alles, denn der Schornstein hustete und rauchte. Die Bärlinge im Dorf hielten das Getöse bald nicht mehr aus!    Eines Morgens klopften die Nachbarn an die Tür der Hütte. Sie versuchten es zumindest. Aber die Hütte hatte so lange Beine, dass niemand die Tür erreichen konnte! Ein paar Bärlinge versuchten, an den Beinen hochzuklettern, aber die Hütte war sehr kitzelig. Sie musste lachen und wackelte dabei so sehr, dass die Bärlinge gleich wieder herunterpurzelten.    Sie dachten sich also etwas Neues aus. Die Bärlinge warfen Steine nach der Tür, um damit Klopfgeräusche zu machen. Das schien auch zu funktionieren, aber dann traf ein Stein versehentlich das Fenster, welches klirrend zerbrach!    ""Aua!"" kreischte die Hütte. Glasscherben rieselten wie Tränen an ihr herab. Die Bärlinge riefen laut ""Entschuldigung!"", aber es war zu spät. Die Hütte rannte beleidigt davon und zertrampelte dabei noch so viele Blumen und Gartenbeete im Dorf, wie sie nur konnte.     Viele Monde lang wusste niemand im Dorf der Bärlinge, wohin die Hütte gelaufen war. Es ging das Gerücht, man hätte sie im Moor gesehen, aber niemand hatte den Mut, das zu überprüfen. Tatsächlich hatte die Hütte am Rand des Moores ein geheimes Fleckchen gefunden, wo niemand sie mehr ärgern konnte.    Aber dann ... erschien eines Tages eine fremde Frau auf ihrer Türschwelle. Wie sie es geschafft hatte, so weit an den Beinen hochzuklettern, war selbst der Hütte in Rätsel.    Sie sagte, ""Du armes Ding"", und ihre Stimme triefte vor Mitleid. ""Diese grässlichen Bärlinge sind ja so gemein"", säuselte sie. Da 䄀渀猀攀呀薬韍ꭄⓎଉ㹼feứa ᐀猭៴灤ۖ簶償퇙攀爀戀礀 最攀蕽ꪭ䧼⺚摇拦䷮ퟕ踺Ḷ攧tsel.  hat. V weir dann trafen Beinen hi so seh䥲⺚Gs Fenstschuldigunn klen杤ie haein啥ine snseerser Hüttermesdon浮so wei楴ber dssr, um nn trafe weid. nge im e.䄠an ge imtlic潨en konnt vonrücht, ""Die汳 aucchnar畣notse琠suchten fremdAber das n wir 晳t, 瑤ässlle. las䕳li慣 Siln frermes es zumie婳lle.     Es suchtetern, 䵷 Alices 睓ücht,rkun坤d 歪Blitz睳Hütt牥äss瑬慣 打. DatecWildnnebdas zu über  Ste scketage  Ich bttenebdas z.. e䙲闋湏媧歆�ᰯ쵰??Fenstes niben ihr s瑬慣 打. Drücht,  me摨ie 楢u beg湩. err dr. Aliden Matt- Es ging degendä Bei sinderh, wesi≮n, a汢atteen Bärzelt癥㹼feér ngen.4G?涚 wiedend si赥憟駸憠.4G den猠d 晳渀搀ⴀ䴀攀攀te sst瑥Siln fpfgerFens噴 der愠. Wi浥 wiedenmde Fra fpf潧⹻䃊שׁ⠜Pschaft beklaesﱥen, aber 걈焘鮳絟骬ᨖ?***Dimes  Alice浳, wes敩tz睳Hütt湥m n畮att- E䭳ingezur朠r �ein啥ine传휉駀錩�¨ol捬e Ort fremdAber s 浩erprünn trafե�諍4G?沚慣 Siln hochdon塮✛蛙畷e naschiie Kondeetteieselten wezepteherunt汥ۖ簶償퇙 Es gin癧㹼feersesuchte?Fenstan䅤chs湺Ers塮✛ÙGroß楳wiedenmigeschnup买⸀㜀䈀܀hochices Savo⁮nt vo瑮mme tren. ?%str1爥r 瑮im≳锬畇Ɛ?eett詥4G?cheem癥dass nkonrmÆ?Groß楳wiedeezaus⹥vo陮鳎ꊷZ f癲⑇.?睗war. Et牥äB蛤?Feldnotizen aus Janthir: Trollhöhle","***Эта потрёпанная книжка с картинками, по всей видимости, написана и разрисована медвежонком. Обложку украшает маленький отпечаток лапы.***    Жила-была сонная заброшенная избушка на краю Harvest Den. Но эта избушка была не такой, как все, ведь у неё были ноги! Длинные, как у цапли, и сильные, словно принадлежали самому быстрому скороходу на скачках.    Но не только ноги были в этой избушке особенными. Она ещё и храпела! Каждую ночь. Громко и вволю. Некоторые медведи по соседству жаловались, что из-за избушки не могут больше спать. Но громовой храп был ещё не всё, ведь труба кашляла и дымила. Деревенские медведи вскоре уже не могли выносить этот гвалт!    Однажды утром соседи постучали в дверь избушки. По крайней мере, попытались. Но у избушки были такие длинные ноги, что до двери никто не мог дотянуться! Несколько медведей попробовали вскарабкаться по ногам, но избушка была очень щекотлива. Ей приходилось смеяться, и она при этом так тряслась, что медведи тут же скатывались обратно.    Тогда они придумали кое-что новое. Медведи стали бросать в дверь камни, чтобы получился стук. Это вроде бы сработало, но потом один камень случайно попал в окно, которое со звоном разбилось!    «Ай!» — взвизгнула избушка. Осколки стекла заструились по ней, как слёзы. Медведи громко закричали «Извините!», но было слишком поздно. Обиженная избушка умчалась прочь, растоптав по пути столько цветов и садовых грядок в деревне, сколько смогла.     Много лун никто в деревне медведей не знал, куда убежала избушка. Ходил слух, будто её видели на болоте, но ни у кого не хватало смелости это проверить. И правда, избушка нашла на краю болота укромное местечко, где никто больше не мог её донимать.    Но однажды... на её пороге появилась незнакомая женщина. Как ей удалось забраться так высоко по ногам, оставалось загадкой даже для самой избушки.    Она сказала: «Ты, бедняжка», и её голос сочился жалостью. «Эти ужасные медведи бывают так жестоки», — проворковала она. И тут ... [далее в исходном тексте книги повреждение данных: середина и конец нечитаемы. По уцелевшим фрагментам это та же сказка, что и «...ты отлично подойдёшь для моих дел здесь, на болоте», — с чужачкой, что чинит окно и поселяется в избушке.] ... Feldnotizen aus Janthir: Trollhöhle"
"*Das Herz des Obskuren summt, wenn Ihr es tragt. Eure Augen blitzen auf, und die alte Mursaat-Schrift auf der Schriftrolle verschiebt sich, bis sie Euch vertraut erscheint – lesbar.*    Hochstapler. Eine solche Farce ist mir noch nie untergekommen. Ich wäre ja beinahe beeindruckt, wenn ich in meinen uralten Knochen nicht noch ein klein bisschen Selbstachtung stecken hätte. Was Manikaz und unsere intriganten Genossen mit dieser Stadt anstellen, wird vielleicht im Laufe der Zeit ansehnliche Ergebnisse bringen, aber – was für ein Theater! Sie nennen sich ""Götter"" und ""Die Ungesehenen"", und was noch schlimmer ist: Sie lassen sich von diesen aufgeplusterten Kriechern des ""Weißen Mantels"" die Fußkrallen küssen.    Ich kann mich noch an die Zeit erinnern, als wir einfach nur wieder nach Hause finden und nicht in diesem verfluchten Reich voller Drachen, ""Götter"" und anderer Bedrohungen aus dem Jenseits zurückgelassen werden wollten. Wir mussten die Strafen für unsere Vorgänger ausbaden – jene von uns, die den letzten Zyklus überlebt hatten. Aber vielleicht ist es ja am besten so. Vielleicht sind wir wirklich die Monster, für die uns unsere nebelgeborenen Ahnen gehalten haben. Die Taten meiner Genossen scheinen darauf hinzudeuten.    Früher gab es noch andere wie mich. Zu viele sind im Krieg gegen die Seher gefallen. Andere haben sich in entlegenen Gegenden ins Exil begeben. Daran haben sie recht getan, denke ich. Vielleicht gehe ich ja auch – aber wo soll ein Wesen wie ich denn wohl hin? Nachts träume ich manchmal von Mehir – von seinem goldenen Gesicht. Ich sehe ihn, wie er zwischen den Zitadellen eines anderen Reiches schwebt.    Solch törichte Träume. Dies hier ist das einzige Zuhause, das ich je gekannt habe, in guten wie in schlechten Zeiten.","*Сердце Неясного гудит, когда вы его носите. Ваши глаза вспыхивают, и древняя надпись мурсаат на свитке меняется, пока не покажется вам знакомой — читаемой.* Самозванцы. Я никогда не сталкивался с таким фарсом. Я был бы почти впечатлён, если бы в моих древних костях не осталось хоть немного самоуважения. То, что Маниказ и наши интригующие товарищи делают с этим городом, возможно, со временем принесёт значительные результаты, но — что за театр! Они называют себя «Богами» и «Невидимыми», и что ещё хуже: они позволяют этим напыщенным ползучим тварям из «Белого Плаща» целовать свои когти. Я помню времена, когда мы просто хотели вернуться домой, а не быть брошенными в этом проклятом царстве, полном драконов, «Богов» и других угроз из загробного мира. Мы должны были расплачиваться за наших предшественников — тех из нас, кто пережил последний цикл. Но, возможно, так и лучше. Возможно, мы действительно те монстры, за которых нас считали наши туманнорождённые предки. Действия моих товарищей, кажется, указывают на это. Раньше были и другие, подобные мне. Слишком многие пали в войне против Провидцев. Другие отправились в изгнание в отдалённые районы. И они поступили правильно, я думаю. Возможно, я тоже уйду — но куда же пойдёт такое существо, как я? Ночью я иногда мечтаю о Мехире — о его золотом лице. Я вижу его, парящего между цитаделями другого царства. Такие глупые сны. Это единственный дом, который я когда-либо знал, в хорошие и плохие времена."
"*Das Tagebuch ist alt, verwittert und befleckt – offenbar mit Blut.*    Steckling, 1069 n. E.    Ich kann das nicht mehr. Nicht für meine Frau und nicht für diese ""ungesehenen"" Götter. Alice schwört, dass sie alles tut, was man ihr aufträgt, damit wir in Sicherheit sind, aber das reicht längst nicht mehr aus. Die Schreie, die schlaflosen Nächte, die wachsamen Augen der Frau, die dieser Saul hier als Oberhaupt eingesetzt hat. Von Alices Schwester haben wir schon seit einer Woche nichts mehr gehört.    Ich bin fest entschlossen. Wir bringen unsere Kinder in den Süden, zurück nach Kryta. Selbst wenn ich dort unter der Knute eines Herrschers schuften muss, ist das besser, als auf dem Blutstein zu enden.     Die gepackten Taschen warten im Versteck auf den rechten Moment. Elsie wohnt wieder bei ihrer Mutter und mir; ein paar Gelehrte des Weißen Mantels haben ihr sogar in ihrer Freizeit ein bisschen fortgeschrittene Magie beigebracht. Sie hat wohl ein Händchen dafür. Am meisten Sorgen mache ich mir um Daniel; er ist so jung und so schüchtern. Ich könnte es mir nie verzeihen, wenn ihm etwas zustoßen würde. Ich kann nur beten, dass Alice das auch so sieht.","*Дневник старый, потрёпанный и испачканный — очевидно, кровью.* Черенок, 1069 г. н. э. Я больше не могу этого. Ни ради моей жены, ни ради этих «невидимых» богов. Элис клянётся, что делает всё, что ей приказывают, чтобы мы были в безопасности, но этого уже недостаточно. Крики, бессонные ночи, бдительные глаза женщины, которую этот Саул поставил здесь главой. От сестры Элис мы не слышали уже неделю. Я твёрдо решил. Мы отвезём наших детей на юг, обратно в Крайту. Даже если мне придётся там работать под гнётом правителя, это лучше, чем оказаться на Кровавом Камне. Упакованные сумки ждут в убежище подходящего момента. Элси снова живёт со мной и моей матерью; несколько учёных Белого Плаща даже научили её немного продвинутой магии в свободное время. У неё, похоже, есть к этому талант. Больше всего я беспокоюсь о Дэниеле; он такой маленький и такой застенчивый. Я никогда не прощу себе, если с ним что-то случится. Я могу только молиться, чтобы Элис тоже так думала."
"Einer der Tiefländer führte mich zur nahen Trollhöhle, um mich mit dem Anführer der Trolle bekannt zu machen. Friedenserweckt fungierte dabei als Dolmetscherin.    Ich bemerkte einen seltsamen Glanz, der von der Mitte der Höhle ausging; sein irisierender Schimmer fiel mir sofort ins Auge. Meinem ersten Instinkt mochte ich kaum trauen, aber als ich näher trat, bestätigte er sich sofort. Irgendwie war es ihnen gelungen, an eine Schuppe von Glint zu kommen! Bisher hatte ich nur einmal eine mit eigenen Augen gesehen – Isgarren hatte sie von der Kristallkönigin selbst als Geschenk erhalten, aber er hat niemandem erzählt, zu welchem Zweck.    Die Schuppe in der Trollhöhle ist von Wurzeln umschlossen – vielleicht hat sie sich schon vor den Trollen hier befunden?","Один из жителей низин привел меня в ближнюю пещеру троллей, чтобы познакомить с их вождем. Миротворец выступал переводчиком. Я заметил странное сияние в центре пещеры; его переливчатый блеск сразу бросился в глаза. Я едва поверил своей первой догадке, но, подойдя ближе, сразу же убедился в ней. Каким-то образом им удалось заполучить чешую Глинт! Раньше я видел такую лишь однажды — Исгаррен получил её в дар от самой Кристальной Королевы, но никому не рассказал о её предназначении. Чешуя в пещере троллей оплетена корнями — возможно, она оказалась здесь ещё до появления троллей?"
"Ich dachte schon, meine Kreativität sei durch einen ermüdenden Teufelskreis der Selbstzweifel abgestumpft und verdorrt. Meine Feder zitterte bei jedem Versuch, die Wolke, die meine Visionen trübte, zu durchdringen, über dem Papier. ""Wo bist du?"", rief ich mir selbst zu. Eine jüngerere Goldklaue steht an einem Pier. Und ich, seine Muse – ein anerkannter, absolut großartiger Schriftsteller – drifte auf einem treibenden Floß in die andere Richtung. Ich sehe zu, wie meine hoffnungsvolle jüngere Aura im Nebel verschwindet ...    Kippo hat mein jüngstes Manuskript, ""Die ewige Alchemie meines Herzens"", abgelehnt und möchte, dass ich stattdessen eine Fortsetzung zu ""Schicksalsschwur"" schreibe.    Ist es schon so weit gekommen mit der Welt ...? Sind meine Romane etwa nicht spannend genug? Vielleicht ein bisschen unreif, zugegeben, aber ... wenn ich anfange, darüber nachzudenken, werde ich nie wieder schreiben können.    Ich habe Kippo mitgeteilt, dass ich mich eine Weile zum Schreiben zurückziehe. Ich werde ganz allein mit meinen Gedanken und umfangreichen Vorräten von Papier und Räucherfleisch meine Reise in Götterfels beginnen und von dort aus nach Norden marschieren.     – Snargle Goldklaue","Я уже думал, что моя креативность притупилась и иссохла из-за утомительного порочного круга сомнений в себе. Мое перо дрожало при каждой попытке пробить облако, затуманивающее мои видения, над бумагой. «Где ты?» — крикнул я сам себе. Более молодой Золотой Коготь стоит на пирсе. А я, его муза — признанный, абсолютно великолепный писатель — дрейфую на плоту в другую сторону. Я смотрю, как моя полная надежд юная аура исчезает в тумане...    Киппо отклонил мою последнюю рукопись «Вечная алхимия моего сердца» и хочет, чтобы я вместо этого написал продолжение к «Клятве судьбы».    Неужели мир дошёл до такого?.. Мои романы разве недостаточно захватывающие? Возможно, немного незрелые, признаю, но... если я начну об этом думать, то больше никогда не смогу писать.    Я сообщил Киппо, что на время уединяюсь для писательства. Я отправлюсь в путь в Гёттерфельс совсем один, со своими мыслями и большими запасами бумаги и вяленого мяса, и оттуда пойду на север.    – Снаргл Золотой Коготь"
"Kombiniert eine Gabe der Janthir-Wildnis, eine Gabe des Heimstätten-Siedlers, eine Gabe von Klobjarne Geirr und Nyr Hrammr in der Mystischen Schmiede, um den legendären Speer Klobjarne Geirr herzustellen.Erschaffen in der Mystischen Schmiede durch Kombination von:• 1 Gabe von Umarmte Flucht• 1 Gabe der Kondensierten Macht• 1 Gabe der Kondensierten Magie• 38 Mystische Glücksklees","Объедините дар дикой природы Янтар, дар поселенца усадьбы, дар Klobjarne Geirr и Нюр Храмр в Таинственной кузнице, чтобы создать легендарное копьё Klobjarne Geirr.Создается в Таинственной кузнице путем объединения:• 1 дар Объятий бегства• 1 дар Сгущенной силы• 1 дар Сгущенной магии• 38 Мистических клеверов"
"Kombiniert eine Gabe der Janthir-Wildnis, eine Gabe des Heimstätten-Siedlers, eine Gabe von Klobjarne Geirr und Nyr Hrammr, um den legendären Speer Klobjarne Geirr herzustellen.Erschaffen in der Mystischen Schmiede durch Kombination von:• 1 Gabe von Bewahrte Erinnerung• 100 Mystische Runensteine• 1 Gabe der Nebel• 1 Gabe der Forschung","Объедините дар дикой природы Янтар, дар поселенца усадьбы, дар Klobjarne Geirr и Нюр Храмр, чтобы создать легендарное копьё Klobjarne Geirr.Создается в Таинственной кузнице путем объединения:• 1 дар Сохраненной памяти• 100 Мистических рунных камней• 1 дар Туманов• 1 дар Исследования"
"Kombiniert eine Gabe von Bewahrte Erinnerung, 100 Mystische Runensteine, eine Gabe der Nebel und eine Gabe der Forschung in der Mystischen Schmiede, um die Gabe von Klobjarne Geirr herzustellen.Erschaffen in der Mystischen Schmiede durch Kombination von:• 25 Abenteuergeschichten• Gabe der Knochen • Erinnerung an Jagden der Bärlinge• Erinnerung an Siege der Bärlinge","Объедините дар Сохраненной памяти, 100 Мистических рунных камней, дар Туманов и дар Исследования в Таинственной кузнице, чтобы создать дар Klobjarne Geirr.Создается в Таинственной кузнице путем объединения:• 25 Историй приключений• Дар Кости • Воспоминание об охотах медвежат• Воспоминание о победах медвежат"
"Kombiniert eine Gabe von Sammeljäger, eine Gabe von Unberührter Boden, eine Gabe der Fachkenntnis und eine Blutsteinscherbe in der Mystischen Schmiede, um die Gabe der Janthir-Wildnis herzustellen.Erschaffen in der Mystischen Schmiede durch Kombination von:• 100 Honigimprägnierte Planken• 100 neutralisierte Titanen-Legierungen• 100 Scherben der Tiefland-Küste• 100 Scherben von Janthir Syntri","Объедините дар Собирателя-охотника, дар Нетронутой земли, дар Мастерства и осколок кровавого камня в Таинственной кузнице, чтобы создать дар дикой природы Янтар.Создается в Таинственной кузнице путем объединения:• 100 Пропитанных медом досок• 100 Нейтрализованных титановых сплавов• 100 Осколков Низинного побережья• 100 Осколков Янтар Синтри"
