english,translate
((1005053)),((1005053))
((1005866)),((1005866))
((1005898)),((1005898))
((1005905)),((1005905))
((1005935)),((1005935))
((1006039)),((1006039))
((1006287)),((1006287))
((1006435)),((1006435))
((1006799)),((1006799))
((1008089)),((1008089))
((1008974)),((1008974))
((1011045)),((1011045))
((1016618)),((1016618))
((1019634)),((1019634))
((1020440)),((1020440))
((1020558)),((1020558))
((1025977)),((1025977))
((1026237)),((1026237))
((1030217)),((1030217))
((1030938)),((1030938))
((1031556)),((1031556))
((1032296)),((1032296))
((1036980)),((1036980))
((1037071)),((1037071))
((1037972)),((1037972))
((1037988)),((1037988))
((1038099)),((1038099))
((1038689)),((1038689))
((1038825)),((1038825))
((1038905)),((1038905))
((1039420)),((1039420))
((1040324)),((1040324))
((1041266)),((1041266))
((1043594)),((1043594))
((1044108)),((1044108))
((1046537)),((1046537))
((1048880)),((1048880))
((1049062)),((1049062))
((1049216)),((1049216))
((1049427)),((1049427))
((1049612)),((1049612))
((1050192)),((1050192))
((1050212)),((1050212))
((1050435)),((1050435))
((1050476)),((1050476))
((1050572)),((1050572))
((1050633)),((1050633))
((1050651)),((1050651))
((1050715)),((1050715))
((1050733)),((1050733))
((1050792)),((1050792))
((1050837)),((1050837))
((1050852)),((1050852))
((1050859)),((1050859))
((1051046)),((1051046))
((1051577)),((1051577))
((1051780)),((1051780))
((1052036)),((1052036))
((1052694)),((1052694))
((1054813)),((1054813))
((1056204)),((1056204))
((1056707)),((1056707))
((1063302)),((1063302))
((1063313)),((1063313))
((1063338)),((1063338))
((1064048)),((1064048))
((1065485)),((1065485))
((1066128)),((1066128))
((1066725)),((1066725))
((1066975)),((1066975))
((1069109)),((1069109))
((1069668)),((1069668))
((1069672)),((1069672))
((1070129)),((1070129))
((1071307)),((1071307))
((1071616)),((1071616))
((1075295)),((1075295))
((1075429)),((1075429))
((1075715)),((1075715))
((1075901)),((1075901))
((1075973)),((1075973))
((1075978)),((1075978))
((1076278)),((1076278))
((1080409)),((1080409))
((1082029)),((1082029))
((1082919)),((1082919))
((1086306)),((1086306))
((1090044)),((1090044))
((1090316)),((1090316))
((1090535)),((1090535))
((1092050)),((1092050))
((1093496)),((1093496))
((1093549)),((1093549))
((1095935)),((1095935))
((1096122)),((1096122))
((1097792)),((1097792))
((1099397)),((1099397))
((1100388)),((1100388))
((1101127)),((1101127))
((1103841)),((1103841))
((1104132)),((1104132))
((1104714)),((1104714))
((1104781)),((1104781))
((1107941)),((1107941))
((1108001)),((1108001))
((1108800)),((1108800))
((1109256)),((1109256))
((1109651)),((1109651))
((1110318)),((1110318))
((1110714)),((1110714))
((1110766)),((1110766))
((1112121)),((1112121))
((1112579)),((1112579))
((1113002)),((1113002))
((1113061)),((1113061))
((1113401)),((1113401))
((1113712)),((1113712))
((1113952)),((1113952))
((1114793)),((1114793))
((1114833)),((1114833))
((111575)),((111575))
((1121511)),((1121511))
((1124146)),((1124146))
((1134302)),((1134302))
((1134602)),((1134602))
((1134683)),((1134683))
((1134710)),((1134710))
((1134737)),((1134737))
((1134859)),((1134859))
((1134971)),((1134971))
((1134994)),((1134994))
((1135401)),((1135401))
((1135441)),((1135441))
((1135599)),((1135599))
((1135720)),((1135720))
((1135766)),((1135766))
((1135773)),((1135773))
((1135837)),((1135837))
((1138527)),((1138527))
((1138567)),((1138567))
((1140125)),((1140125))
((1140311)),((1140311))
((1141564)),((1141564))
((1141604)),((1141604))
((1142446)),((1142446))
((1145886)),((1145886))
((1146111)),((1146111))
((1146141)),((1146141))
((1146289)),((1146289))
((1146657)),((1146657))
((1146716)),((1146716))
((1146971)),((1146971))
((1147352)),((1147352))
((1150595)),((1150595))
((1152383)),((1152383))
((1154011)),((1154011))
((1160180)),((1160180))
((1160349)),((1160349))
((1160425)),((1160425))
((1160610)),((1160610))
((1160699)),((1160699))
((1160958)),((1160958))
((1160985)),((1160985))
((1161046)),((1161046))
((1161097)),((1161097))
((1161244)),((1161244))
((1161318)),((1161318))
((1161444)),((1161444))
((1161463)),((1161463))
((1161722)),((1161722))
((1161813)),((1161813))
((1161816)),((1161816))
((1161847)),((1161847))
((1161968)),((1161968))
((1161985)),((1161985))
((1161995)),((1161995))
((1162047)),((1162047))
((1162095)),((1162095))
((1162101)),((1162101))
((1162138)),((1162138))
((1162185)),((1162185))
((1162828)),((1162828))
((1163292)),((1163292))
((1166111)),((1166111))
((1167035)),((1167035))
((1168500)),((1168500))
((1169158)),((1169158))
((1173231)),((1173231))
((1174821)),((1174821))
((1183383)),((1183383))
((1185901)),((1185901))
((1186124)),((1186124))
((132019)),((132019))
((132020)),((132020))
((132021)),((132021))
((132022)),((132022))
((132023)),((132023))
((132024)),((132024))
((132651)),((132651))
((146491)),((146491))
((168761)),((168761))
((169654)),((169654))
((174037)),((174037))
((183480)),((183480))
((183489)),((183489))
((183495)),((183495))
((193432)),((193432))
((193433)),((193433))
((193436)),((193436))
((194487)),((194487))
((196970)),((196970))
((198098)),((198098))
((198099)),((198099))
((205946)),((205946))
((207009)),((207009))
((211189)),((211189))
((211871)),((211871))
((211873)),((211873))
((211874)),((211874))
((211879)),((211879))
((212267)),((212267))
((212295)),((212295))
((212296)),((212296))
((212297)),((212297))
((212315)),((212315))
((212316)),((212316))
((212333)),((212333))
((212373)),((212373))
((212426)),((212426))
((212432)),((212432))
((212437)),((212437))
((212459)),((212459))
((212465)),((212465))
((212470)),((212470))
((212483)),((212483))
((212574)),((212574))
((212575)),((212575))
((212636)),((212636))
((212798)),((212798))
((212800)),((212800))
((212812)),((212812))
((212862)),((212862))
((212868)),((212868))
((212893)),((212893))
((212894)),((212894))
((212895)),((212895))
((212901)),((212901))
((212902)),((212902))
((212926)),((212926))
((212940)),((212940))
((212955)),((212955))
((212970)),((212970))
((213002)),((213002))
((213008)),((213008))
((213027)),((213027))
((213029)),((213029))
((213031)),((213031))
((213042)),((213042))
((213138)),((213138))
((213172)),((213172))
((213176)),((213176))
((214683)),((214683))
((214723)),((214723))
((214934)),((214934))
((214954)),((214954))
((215045)),((215045))
((215070)),((215070))
((215094)),((215094))
((216017)),((216017))
((216018)),((216018))
((216034)),((216034))
((216035)),((216035))
((216036)),((216036))
((216052)),((216052))
((216053)),((216053))
((216054)),((216054))
((216304)),((216304))
((216305)),((216305))
((216324)),((216324))
((216645)),((216645))
((217457)),((217457))
((224004)),((224004))
((226833)),((226833))
((228713)),((228713))
((229079)),((229079))
((230206)),((230206))
((231962)),((231962))
((231964)),((231964))
((231966)),((231966))
((231969)),((231969))
((233612)),((233612))
((233868)),((233868))
((235289)),((235289))
((235420)),((235420))
((235492)),((235492))
((235496)),((235496))
((235501)),((235501))
((236201)),((236201))
((237527)),((237527))
((237677)),((237677))
((237886)),((237886))
((237887)),((237887))
((238362)),((238362))
((24058)),((24058))
((241839)),((241839))
((241886)),((241886))
((242592)),((242592))
((242593)),((242593))
((242621)),((242621))
((242704)),((242704))
((243076)),((243076))
((243420)),((243420))
((243421)),((243421))
((244593)),((244593))
((244753)),((244753))
((244754)),((244754))
((244755)),((244755))
((244756)),((244756))
((244757)),((244757))
((245830)),((245830))
((245831)),((245831))
((245832)),((245832))
((246055)),((246055))
((246148)),((246148))
((246149)),((246149))
((246150)),((246150))
((246203)),((246203))
((246323)),((246323))
((246439)),((246439))
((246922)),((246922))
((247310)),((247310))
((247784)),((247784))
((247785)),((247785))
((247786)),((247786))
((247787)),((247787))
((247788)),((247788))
((247789)),((247789))
((247790)),((247790))
((248350)),((248350))
((248607)),((248607))
((24954)),((24954))
((24962)),((24962))
((24969)),((24969))
((24983)),((24983))
((24984)),((24984))
((252803)),((252803))
((252804)),((252804))
((252805)),((252805))
((252806)),((252806))
((252807)),((252807))
((25350)),((25350))
((257063)),((257063))
((257064)),((257064))
((258160)),((258160))
((258717)),((258717))
((258755)),((258755))
((259687)),((259687))
((259688)),((259688))
((259689)),((259689))
((259755)),((259755))
((259757)),((259757))
((26186)),((26186))
((26247)),((26247))
((263013)),((263013))
((263014)),((263014))
((26316)),((26316))
((26317)),((26317))
((26319)),((26319))
((26329)),((26329))
((26332)),((26332))
((26334)),((26334))
((263353)),((263353))
((263355)),((263355))
((26336)),((26336))
((263362)),((263362))
((26337)),((26337))
((263370)),((263370))
((26339)),((26339))
((26342)),((26342))
((26344)),((26344))
((26349)),((26349))
((263576)),((263576))
((263577)),((263577))
((263578)),((263578))
((263579)),((263579))
((263581)),((263581))
((263582)),((263582))
((263583)),((263583))
((263584)),((263584))
((263585)),((263585))
((263586)),((263586))
((263587)),((263587))
((263588)),((263588))
((263620)),((263620))
((263623)),((263623))
((264323)),((264323))
((264324)),((264324))
