file,line,source,translate
events/events_010.csv,251,Favor of the Zephyrites (Tier 6),Милость Zephyrites (Уровень x)
items/items_001.csv,249,4th Place World Tournament Series Finisher,Четвёртое место — добивающий приём Мировой турнирной серии
items/items_011.csv,126,"A skyscale's strength is strongly tied to the amount of care it receives as a hatchling.
Combine 1 Red and 2 Gray Skyscale Hatchlings with 8 Unidentified Dyes in the Mystic Forge to create a Copper Skyscale Hatchling.",'Сила скайскейла сильно зависит от заботы
items/items_011.csv,128,"A skyscale's strength is strongly tied to the amount of care it receives as a hatchling.
Combine 1 White and 2 Copper Skyscale Hatchlings with 12 Unidentified Dyes in the Mystic Forge to create a Silver Skyscale Hatchling.",'Сила скайскейла сильно зависит от заботы
items/items_011.csv,129,"A skyscale's strength is strongly tied to the amount of care it receives as a hatchling.
Combine 2 Blue and 1 Copper Skyscale Hatchling with 8 Unidentified Dyes in the Mystic Forge to create a White Skyscale Hatchling.
Combine 1 Red and 2 Copper Skyscale Hatchlings with 12 Unidentified Dyes in the Mystic Forge to create a Gold Skyscale Hatchling.",'Сила скайскейла сильно зависит от заботы
items/items_011.csv,130,"A skyscale's strength is strongly tied to the amount of care it receives as a hatchling.
Combine 3 Gray Skyscale Hatchlings with 2 Unidentified Dyes in the Mystic Forge to create a Blue Skyscale Hatchling.",'Сила скайскейла сильно зависит от заботы
items/items_041.csv,91,Double-click to turn 10 Ancient Surveyor's Tools into an Imperial Cadastral Suite.,'Дважды щелкните
items/items_047.csv,385,"Found by defeating the Aetherblade boss in Seitung Province.

Used by jade bot technicians to upgrade to Skiff Supercharger 3.",Найдено после победы над боссом Эфириклинков в провинции Сейтунг.
items/items_104.csv,314,"Spawns a guild banner that will give +10%% karma, +15%% magic find, +10%% experience from kills, +10%% gold from kills, +10%% increased movement speed, and +15%% gathering chance to any ally that touches it for 30 minutes. Does not stack with other banner boosts.","Создаёт гильдейское знамя, которое на 30 минут даёт любому союзнику, коснувшемуся его, +15%% кармы, +15%% поиска магии, +15%% опыта с убийств, +15%% золота с убийств, +15%% скорости передвижения и +15%% шанса сбора. Не суммируется с другими усилениями от знамён."
items/items_111.csv,406,"This locked coffer contains rift essence of various tiers. It requires an Unstable Rift Motivation to open.

Unstable Rift Motivations can be found in tier 2 and 3 rifts or bought from the Trading Post.","Этот запертый ларец содержит эссенцию разлома различных уровней. Чтобы открыть его, нужен нестабильный мотиватор разлома."
