english,translate
Symbols are larger.,Символы больше.
Symphony of Pain,Симфония боли
Synaptic Overload,Синаптическая перегрузка
Synergetic Assault Knight,Синергетический штурмовой рыцарь
Synergetic Assault Knight Power Core[s],Синергетическое силовое [ядро|ядра|ядер] штурмового рыцаря
Synergetic Attunement Field,Синергетическое поле настройки
Synergetic Blast,Синергетический взрыв
Synergetic Protection,Синергетическая защита
Synergetic Pulse,Синергетический импульс
Synergetics Axe Skin[s],[Облик|Облика|Обликов] топора «Синергетика»
Synergetics Cyberhound Skin[s],[Облик|Облика|Обликов] кибергончей «Синергетика»
Synergetics Cyberscale Skyscale Skin[s],[Облик|Облика|Обликов] скайскейла «Киберчешуя Синергетика»
Synergetics Dagger Skin[s],Синергетика [облик|облика|обликов] кинжала
Synergetics Database,База данных синергетики
Synergetics Energized Shield Skin[s],Синергетика [облик|облика|обликов] заряженного щита
Synergetics Expert,Эксперт по синергетике
Synergetics Expert Pixx,Эксперт по синергетике Пикс
Synergetics Field-Testing Request,Запрос на полевые испытания синергетики
Synergetics Focus Skin[s],Синергетика [облик|облика|обликов] фокуса
Synergetics Greatsword Skin[s],Синергетика [облик|облика|обликов] большого меча
Synergetics Gyrocycle Roller Beetle Skin[s],Синергетика [облик|облика|обликов] жука-катка «Гироцикл»
Synergetics Gyrocycle[s],Синергетика [гироцикл|гироцикла|гироциклов]
Synergetics Hammer Skin[s],Синергетика [облик|облика|обликов] молота
Synergetics Headset (Down) Skin[s],Синергетика [облик|облика|обликов] гарнитуры (вниз)
Synergetics Headset (Up) Skin[s],Синергетика [облик|облика|обликов] гарнитуры (вверх)
Synergetics Headset Pack[s],Синергетика [набор|набора|наборов] гарнитур
Synergetics Hoverbike Skimmer Skin[s],Синергетика [облик|облика|обликов] скимера «Ховербайк»
Synergetics Intern,Стажёр по синергетике
Synergetics Longbow Skin[s],Синергетика [облик|облика|обликов] длинного лука
Synergetics Mace Skin[s],Синергетика [облик|облика|обликов] булавы
Synergetics Pistol Skin[s],Синергетика [облик|облика|обликов] пистолета
Synergetics Rifle Skin[s],Синергетика [облик|облика|обликов] винтовки
Synergetics Scepter Skin[s],[Облик|Облика|Обликов] скипетра «Синергетика»
Synergetics Shield Skin[s],[Облик|Облика|Обликов] щита «Синергетика»
Synergetics Short Bow Skin[s],[Облик|Облика|Обликов] короткого лука «Синергетика»
Synergetics Spear Skin[s],[Облик|Облика|Обликов] копья «Синергетика»
Synergetics Staff Skin[s],[Облик|Облика|Обликов] посоха «Синергетика»
Synergetics Sword Skin[s],[Облик|Облика|Обликов] меча «Синергетика»
Synergetics Torch Skin[s],[Облик|Облика|Обликов] факела «Синергетика»
Synergetics Warhorn Skin[s],[Облик|Облика|Обликов] боевого рога «Синергетика»
Synergetics Weapons,Оружие «Синергетика»
Synergetics<br>Union,Синергетика<br>Союз
Syntax: /.collectoradd REWARD-ID PASSWORD [lbracket]TROPHY_COUNT[rbracket] [lbracket]TROPHY_NAME[rbracket],Синтаксис: /.collectoradd ID_НАГРАДЫ ПАРОЛЬ [lbracket]КОЛИЧЕСТВО_ТРОФЕЕВ[rbracket] [lbracket]НАЗВАНИЕ_ТРОФЕЯ[rbracket]
Syntax: /.mark [lbracket]event #[rbracket] [lbracket]player name[rbracket],Синтаксис: /.mark [lbracket]событие #[rbracket] [lbracket]имя игрока[rbracket]
Syska's Greatsword,Большой меч Сыски
System & Network Engineering,Системная и сетевая инженерия
System Architect Repro 2.0,"Архитектор системы, повторное изготовление 2.0."
System Purge,Очистка системы
System Secure,Система защищена
Système des tournois automatisés,Система автоматизированных турниров
Syzygy (Infused),Сизигия (улучшенная)
T-Bone Steak[s],[Стейк|Стейка|Стейков] Т-образной кости
Tab Options,Параметры вкладки
"Table, Seating, Etc.","Стол, сиденья и т.д."
Tableau des scores,Таблица результатов
Tablet 1,Планшет 1
Tablet 10,Планшет 10
Tablet 2,Планшет 2
Tablet 3,Планшет 3
Tablet 4,Табличка 4
Tablet 5,Табличка 5
Tablet 6,Табличка 6
Tablet 7,Табличка 7
Tablet 8,Табличка 8
Tablet 9,Табличка 9
Tablet of Surrender,Табличка капитуляции
Tablet Piece,Фрагмент таблички
Tackle Box,Ящик для снастей
Tactic not usable when recharging or objective is uncontested.,Тактика недоступна во время перезарядки или если объект не оспаривается.
Tactical Boots Skin[s],[Облик|Облика|Обликов] тактических ботинок
Tactical Coat Skin[s],[Облик|Облика|Обликов] тактического плаща
Tactical Gloves Skin[s],[Облик|Облика|Обликов] тактических перчаток
Tactical Helm,Тактический шлем
Tactical Helm Skin[s],[Облик|Облика|Обликов] тактического шлема
Tactical Leggings Skin[s],[Облик|Облика|Обликов] тактических поножей
Tactical Pen,Тактическая ручка
Tactical Retreat,Тактическое отступление
Tactical Shoulders Skin[s],[Облик|Облика|Обликов] тактических наплечников
Tactician Art,Тактик Арт
Tactician Draga,Тактик Драга
Tactician Envoltt,Тактик Энвольтт
Tactician Kinsey,Тактик Кинси
Tactician Mansell has fallen! Revive her before the Pact retreats.,"Тактик Мэнселл пала! Воскресите её, пока Договор не отступил."
Tactician Marsch,Тактик Марш
Tactician Sebastian,Тактик Себастьян
Tactician Sebastian appreciates the help you've given.,Тактик Себастьян ценит вашу помощь.
Tactician Senna,Тактик Сенна
Tactician Tunelle,Тактик Тюнель
Tactician Yivva,Тактик Йивва
Tactics & improvements for upgrading World vs. World objectives claimed by your guild.Items in the War Chest are only available for use in WvW. Spend the items by interacting with claimable objectives in a WvW map.,"Тактика и улучшения для модернизации целей «Мир против мира», которые заняты вашей гильдией.Предметы в Военном сундуке доступны только для использования в WvW. Тратьте предметы, взаимодействуя с доступными для захвата целями на карте WvW."
Tactics (Active),Тактика (активная)
Taddra [lbracket]Difficulty[rbracket],Таддра [lbracket]Сложность[rbracket]
Tae-Sung has entered the spirit realm!,Тэ-Сон вошёл в мир духов!
"Tae-Sung has gone to the spirit realm! Enter the spirit realm, and force him back into the physical realm before he binds the friendly spirits!","Тэ-Сон ушёл в мир духов! Войдите в мир духов и заставьте его вернуться в физический мир, пока он не связал духов!"
Taffy Dye[s],Краситель[|я|ей] «Тэффи»
Tag In,Войти в тег
Tag Suspect,Пометить подозреваемого
Tagebuch der Inquisitorin Machalina,Дневник инквизиторши Махалины
Tagging the monument will temporarily reveal you.,Пометка монумента временно раскроет ваше местоположение.
Tags:,Теги:
Tahkayun's Armor Piercer Skin[s],Облик[|а|ов] «Армор Пирсер» Тахкаюна
