english,translate
Riposte,Рипост
Riposting Shadows,Контратакующие тени
Ripper,Потрошитель
Ripple,Рябь
Ripples of Rot,Рябь гнили
Riptide,Риптайд
Rising Heat,Нарастающий жар
Rising Momentum,Нарастающий импульс
Rising Tide,Прилив
Ritual of Life,Ритуал жизни
Ritualist,Ритуалист
River's Flow,Речное течение
Roar of the Forest,Рык леса
Roaring Brand,Ревущее клеймо
Roaring Reveille,Рев пробуждения
Rock Anchor,Каменный якорь
Rock Barrier,Каменный барьер
Rock Blade,Каменный клинок
Rock Guard,Каменная стража
Rock Shards,Каменные осколки
Rock Spray,Каменный спрей
Rock Throw,Бросок камня
Rocket Charge,Ракетный рывок
Rocket Fist Prototype,Прототип ракетного кулака
Rocket Jump,Ракетный прыжок
Rocket Kick,Ракетный удар ногой
Rocket Spray,Ракетный спрей
Rocket Turret,Ракетная турель
Rockets Until Orbital Strike,Ракеты до орбитального удара
Rocky Loop,Каменистая петля
Roiling Flames,Клубящееся пламя
Roiling Light,Клубящийся свет
Roiling Mists,Бурлящий туман
Roiling Skies,Клубящиеся небеса
Roll for Initiative,Бросок инициативы
Rolling Chaos,Катящийся хаос
Rot Eruption,Извержение гнили
Rot Wallow Venom,Яд гнилостного валлоу
Rot the World,Сгнить мир
Rugged Growth,Стойкий рост
Ruinous Nova,Разрушительная новая
Rumble,Грохот
Ruptured Ground,Расколотая земля
Rupturing Smash,Разрывающий удар
Rush,Рывок
Rush End,Конец рывка
Rust Frenzy,Ржавое неистовство
Sadistic Searing,Садистское выжигание
Saint of zu Heltzer,Святой цу Хельцер
Saint's Shield,Щит святого
Sand Call,Зов песков
Sand Cascade,Песчаный каскад
Sand Flare,Песчаная вспышка
Sand Geyser,Песчаный гейзер
Sand Sage,Песчаный мудрец
Sand Savant,Песчаный учёный
Sand Squall,Песчаный шквал
Sand Swell,Песчаный прилив
Sand through Glass,Песок сквозь стекло
Sandstorm Shroud,Пелена песчаной бури
Sanguine Array,Кровавый массив
Sapping Device,Истощающее устройство
Satiate,Насыщение
Saurian Might,Сила ящера
Savage Instinct,Дикий инстинкт
Savage Leap,Дикий прыжок
Savage Shock Wave,Дикая ударная волна
Savage Slash,Дикий удар
Savage Strike,Дикий выпад
Savannah Strike,Удар саванны
Scatter Grenade,Разрывная граната
Scatter Mines,Разрывные мины
Scattering Sporeblast,Рассеивающий споровый взрыв
Scavenger Burst,Взрыв мусорщика
Scavenger of the Wilds,Мусорщик диких земель
Scepter Beam,Луч скипетра
Scepter Proficiency,Владение скипетром
Scorched Earth,Выжженная земля
Scorching Shot,Обжигающий выстрел
Scorpion Wire,Скорпионий трос
Scoundrel's Luck,Удача негодяя
Scrapper,Механик
Screech,Визг
Scurvy Prick,Укол цинги
Scythe Assault,Атака косой
Scythe Shock,Удар косой
Scythe Slam,Слэм косой
Scythe Slash,Рассекающий удар косой
Scythe Spin,Вращение косой
Scythe Swing,Взмах косой
Scythe Swipe,Удар косой
Sea Swell,Морская зыбь
Sea of Flame,Море пламени
Seal Area,Запечатать область
Sear,Выжечь
Searing Fissure,Обжигающая трещина
Searing Heat,Обжигающий жар
Searing Light,Обжигающий свет
Searing Pact,Пылающий пакт
Searing Salvo,Обжигающий залп
Searing Slash,Обжигающий удар
Second Opinion,Второе мнение
Second Skin,Вторая кожа
Seeds of Decay,Семена распада
Seeking Judgment,Ищущий приговор
Seethe,Кипение
Seething Malice,Кипящая злоба
Seiche,Сейш
Seismic Crash,Сейсмический крах
Seismic Crush,Сейсмическое сокрушение
Seismic Impact,Сейсмический удар
Seismic Leap,Сейсмический прыжок
Seismic Reposition,Сейсмическое перемещение
Seismic Stomp,Сейсмический топот
Seismic Suffering,Сейсмическое страдание
Seismoelectricity,Сейсмоэлектричество
Seize the Moment,Уловить момент
Self-Deception,Самообман
Selfish Spirit,Эгоистичный дух
Selfless Daring,Бескорыстная отвага
Selfless Spirit,Бескорыстный дух
Septic Corruption,Септическое заражение
Serene Rejuvenation,Безмятежное омоложение
Serene Slash,Безмятежный удар
Serpent Siphon,Змеиный сифон
Serpent Stab,Змеиный укол
Serpent's Strike,Змеиный удар
Serpent's Touch,Прикосновение змея
Serrated Steel,Зубчатая сталь
Serrated Stones,Зубчатые камни
Sevenshot,Семь выстрелов
Shackle,Оковы
Shackling Wave,Сковывающая волна
Shade Claw,Коготь тени
Shade Dart,Теневой дротик
Shadestep,Теневой шаг
Shadow Arts,Тени
Shadow Assault,Теневой штурм
Shadow Aura,Теневая аура
Shadow Bolt,Теневой снаряд
Shadow Escape,Теневой побег
Shadow Flare,Теневая вспышка
Shadow Gouge,Теневой выпад
Shadow Gust,Теневой порыв
Shadow Meld,Теневое слияние
Shadow Portal,Теневой портал
Shadow Refuge,Теневое убежище
Shadow Rift,Теневой разлом
Shadow Sap,Теневое истощение
Shadow Savior,Теневой спаситель
Shadow Shot,Теневой выстрел
Shadow Shroud per Initiative Spent,Теневая пелена за потраченную инициативу
Shadow Siphon,Теневой сифон
Shadow Siphoning,Теневое высасывание
Shadow Strike,Теневой удар
Shadow Swap,Теневая смена
Shadow Veil,Теневая завеса
Shadow's Embrace,Теневое объятие
Shadow's Rejuvenation,Теневое омоложение
Shadowfall,Тенепад
Shadowsquall,Теневой шквал
Shadowstep,Теневой шаг
Shale Storm,Осколочный шторм
Shallow Grave,Мелкая могила
Shaped Charge,Кумулятивный заряд
Shaper of Chaos,Творец Хаоса
Shards of Rage,Осколки ярости
Shared Agony,Разделенная агония
Shared Destruction,Разделенное разрушение
Shared Empowerment,Общее усиление
Shared Shock,Разделенный шок
Shared Wisdom,Общая мудрость
Sharing Is Caring,Делиться — значит заботиться
Shark Splash,Всплеск акулы
Sharp as the Wind,"Остёр, как ветер"
Sharpen Spines,Заострение шипов
Sharpened Edges,Заточенные лезвия
Sharpening Sorrow,Острая печаль
Sharper Images,Более чёткие образы
Sharpshooter,Меткий стрелок
Shatter,Разбивание
Shatter Earth,Разбить землю
Shatter Storm,Шторм осколков
Shatter skill 1 becomes an ammo skill.,1-е умение Осколков становится умением с зарядами.
Shatter skill 2 inflicts blindness.,2-е умение Осколков вызывает слепоту.
Shatter skill 4 grants boons and breaks allies out of stuns.,4-е умение Осколков даёт союзникам дары и сбрасывает с них оглушение.
Shattered Aegis,Разбитый эгид
Shattered Concentration,Разбитая концентрация
Shattered Earth,Раскалывающаяся земля
Shattering Assault,Раскалывающая атака
Shattering Blow,Раскалывающий удар
Shattering Ice,Раскалывающий лед
Shattering Impact,Раскалывающее воздействие
Shattering Stone,Раскалывающий камень
Shattershot,Раскалывающий выстрел
Shatterstone,Раскалывающий камень
Shearing Edge,Режущее лезвие
Shearing Winds,Режущие ветры
Shelter,Укрытие
Shield Bash,Удар щитом
Shield Proficiency,Владение щитом
Shield Smack,Удар щитом
Shield Smash,Удар щитом
Shield Stance,Стойка со щитом
Shield of Absorption,Щит поглощения
Shield of Courage,Щит мужества
Shield of Courage gains increased radius and duration.,Щит Отваги увеличивает в размерах и длится дольше.
Shield of Judgment,Щит правосудия
Shield of Wrath,Щит гнева
Shielding Hands,Защищающие руки
Shielding Restoration,Восстановление щита
Shift Signet,Сдвиг печати
Shimmering Stances,Мерцающие стойки
Shining Aspects,Сияющие аспекты
Shining Champion,Сияющий чемпион
Shining Spin,Сияющее вращение
Shivers of Dread,Дрожь ужаса
Shock Blast,Ударный взрыв
Shock Shield,Ударный щит
Shocking Aura,Шокирующая аура
Shocking Barrage,Шокирующий залп
Shocking Bolt,Шокирующая молния
Shockwave,Ударная волна
Shoot,Стрелять
Short Bow Proficiency,Владение коротким луком
Shout. Cure conditions on yourself and nearby allies.,Крик. Снимает состояния с вас и ближайших союзников.
Shrapnel,Шрапнель
Shrapnel Grenade,Осколочная граната
Shred,Растерзание
Shredding,Разрывание
Shriek,Визг
Shrike,Сорокопут
Shroud Knight,Рыцарь савана
Shroud skill 1 grants might.,Навык савана 1 даёт мощь.
Shroud skill 1 inflicts burning on your target.,1-е умение Савана подожжет вашу цель.
Shroud skill 1 inflicts vulnerability.,1-е умение Савана накладывает уязвимость.
Shrouded Removal,Снятие саваном
Shrug It Off,Не обращать внимания
Sieging Fireball,Осадный огненный шар
Sight beyond Sight,Зрение сверх зрения
Signet Effectiveness Increased,Эффективность печатей увеличена
Signet Mastery,Мастер печатей
Signet of Agility,Печать ловкости
Signet of Air,Печать воздуха
Signet of Courage,Печать мужества
Signet of Domination,Печать доминирования
Signet of Earth,Печать Земли
Signet of Ferocity,Печать свирепости
Signet of Fire,Печать огня
Signet of Fury,Печать ярости
Signet of Humility,Печать смирения
Signet of Illusions,Печать иллюзий
Signet of Inspiration,Печать вдохновения
Signet of Malice,Печать злобы
Signet of Mercy,Печать милосердия
Signet of Midnight,Печать полуночи
Signet of Might,Печать мощи
Signet of Rage,Печать ярости
Signet of Renewal,Печать обновления
Signet of Resolve,Печать решимости
Signet of Restoration,Печать восстановления
Signet of Shadows,Печать теней
Signet of Spite,Печать недоброжелательности
Signet of Stamina,Печать выносливости
Signet of Stone,Печать камня
Signet of Undeath,Печать нежити
Signet of Vampirism,Печать вампиризма
Signet of Water,Печать воды
Signet of Wrath,Печать гнева
Signet of the Ether,Печать эфира
Signet of the Hunt,Печать охоты
Signet of the Locust,Печать саранчи
Signet of the Wild,Печать дикой природы
Signet. Immobilize your target.,Печать. Обездвиживает вашу цель.
Signet. Your attacks become unblockable.,Печать. Ваши атаки становятся неблокируемыми.
Signets of Power,Печати силы
Signets of Suffering,Печати страданий
Silent Scope,Бесшумный прицел
Silver Lining,Серебряная подкладка
Singeing Strike,Опаляющий удар
Singularity,Сингулярность
Singularity Delay Reduction,Сокращение задержки сингулярности
Sinister Shroud,Зловещий саван
Sinister Stab,Зловещий удар
Sinking Tomb,Погружающая гробница
Siphon,Вытягивание
Siphon health after using your healing skill.,Вы вытягиваете здоровье после использования исцеляющего умения.
Siphon health when you hit.,Вытягивает здоровье при попадании.
Siphoned Power,Вытянутая сила
Skelk Venom,Яд скелка
Sketching,Набросок
Skills to Charge Familiar,Навыки для зарядки фамильяра
Skirmisher's Shot,Выстрел застрельщика
Skirmishing,Схватка
Skull Bolas,Черепные бола
Skull Crack,Раскол черепа
Skull Fear,Страх черепа
Skull Grinder,Дробитель черепов
Sky Render,Небесный жнец
Slam,Удар
Slash,Рассечение
Slashing Winds,Рассекающие ветры
Sleight of Hand,Ловкость рук
Slice,Разрез
Slicing Maelstrom,Режущий водоворот
Slick Shoes,Скользкие ботинки
Slipstream,Попутный поток
Slow,Замедление
Slow Burn,Медленное горение
Slowing Thump,Замедляющий удар
Smack,Шлепок
Small Shot,Маленький выстрел
Smash,Разгром
Smash Brawler,Боец-крушитель
Smite,Smite
Smiter's Boon,Благословение карателя
Smothering Auras,Удушающие ауры
Soaring Devastation,Парящее опустошение
Soaring Rescue,Парящее спасение
Solar Brilliance,Солнечное сияние
Solar Focusing Lens,Солнечная фокусирующая линза
Soldier's Comfort,Комфорт солдата
Song of Arboreum,Песнь Арбореума
Song of the Mists,Песнь Туманов
Sonic Barrier,Звуковой барьер
Sonic Blast,Звуковой взрыв
Sonic Shriek,Звуковой визг
Soothing Breeze,Успокаивающий бриз
Soothing Burst,Успокаивающий всплеск
Soothing Detonation,Успокаивающая детонация
Soothing Disruption,Успокаивающее нарушение
Soothing Ice,Успокаивающий лед
Soothing Power,Успокаивающая сила
Soothing Splash,Успокаивающий поток
Soothing Stone,Успокаивающий камень
Soothing Water,Успокаивающая вода
Soul Barbs,Шипы души
Soul Comprehension,Постижение души
Soul Eater,Пожиратель душ
Soul Grasp,Хватка души
Soul Leach,Высасывание души
Soul Marks,Метки души
Soul Reaping,Пожинание душ
Soul Rift,Разлом души
Soul Scourge,Бич души
Soul Shackle,Оковы души
Soul Shards,Осколки души
Soul Siphon,Сифон души
Soul Spiral,Спираль души
Soul Swarm,Рой душ
Soul Twisting,Искажение души
Soulbeast,Душегуб
Soulbeast Attribute Increase,Увеличение атрибутов душезверя
Soulbeast Damage Increase,Увеличение урона душезверя
Soulbeast Ferocity Increase,Увеличение свирепости душезверя
Soulcleave's Summit,Вершина Рассечения душ
Soulless Torrent,Бездушный поток
Sovereign of Light,Владыка Света
Spaghettification,Спагеттификация
Spare Capacitor,Запасной конденсатор
Sparking Aura,Искрящаяся аура
Sparking Reverberation,Искрящийся резонанс
Sparkwave,Искровая волна
Spatial Surge,Пространственный всплеск
Spawning Power,Сила призыва
Spear Impact,Удар копьём
Spear Return,Возврат копья
Spear Swipe,Взмах копьём
Spear of Anguish,Копьё мучений
Spear of Archemorus,Копьё Археморуса
Spear of Light,Копьё света
Spearmarshal's Support,Поддержка маршала-копьеносца
Specialized Elements,Специализированные элементы
Spectacular Sphere,Эффектная сфера
Spectral Armor,Призрачная броня
Spectral Flame,Призрачное пламя
Spectral Grasp,Призрачная хватка
Spectral Impact,Призрачный удар
Spectral Ring,Призрачное кольцо
Spectrum Shield,Спектральный щит
Speed of Sand,Скорость песков
Speed of Shadows,Скорость теней
Speed of Synergy,Скорость синергии
Spellbreaker,Разрушитель
Spellbreaker's Conviction,Убеждение заклинательницы
Sphere Cooldown Increase,Увеличение времени перезарядки сферы
Sphere Specialist,Специалист по сферам
Spider and Devourer Additional Expertise,Дополнительная экспертиза паука и пожирателя
Spider's Web,Паутина
Spike Barrage,Заградительный шип
Spin,Вращение
Spinal Shivers,Спинальные ознобы
Spinning Axe,Вращающийся топор
Spinning Slash,Вращающийся удар
Spiral Burst Skill,Навык спирального взрыва
Spirit Boon,Благословение духа
Spirit Fury,Ярость духа
Spirit Scream,Крик духа
Spirit's Gift,Дар духа
Spirit's Strength,Сила духа
Spirit's Succor,Помощь духа
Spiritcrush,Сокрушение духа
Spirited Arrival,Духовное прибытие
Spirits' Remedy,Средство духов
Spiritual Lightning,Духовная молния
Spiritual Reckoning,Духовное возмездие
Spiritual Reprieve,Духовная передышка
Spit,Плевок
Spit Goop,Плевок слизью
Spiteful Fortitude,Мстительная стойкость
Spiteful Spirit,Мстительный дух
Spiteful Talisman,Мстительный талисман
Splash,Всплеск
Splinter Shot,Осколочный выстрел
Splinter Weapon,Осколочное оружие
Split Shot,Раздельный выстрел
Split Surge,Разделяющий всплеск
Splitblade,Осколочный клинок
Spontaneous Combustion,Самовозгорание
Spore Release,Выброс спор
Spotter's Shot,Выстрел наводчика
Spreading Ice,Распространяющийся лед
Springer Mount,Ездовой спрингер
Stab,Укол
Stability,Устойчивость
Stack Threshold,Порог накопления
Stacks of might gained increased per level.,"Количество зарядов мощи, получаемых за уровень, увеличено."
Staff Bash,Удар посохом
Staff Proficiency,Владение посохом
Staff Strike,Удар посохом
Staggering Blow,Ошеломляющий удар
Stainless Steel,Нержавеющая сталь
Stalagmites,Сталагмиты
Stalk,Преследование
Stalker's Strike,Удар преследователя
Stalwart Defender,Верный защитник
Stalwart Focus,Верная концентрация
Stalwart Speed,Верная скорость
Stalwart Stance,Стойкая стойка
Stalwart Strength,Верная сила
Starburst Cascade,Каскад звёздного взрыва
Staring Void,Звёздная пустота
Static Field,Статическое поле
Static Grenade,Статическая граната
Static Shield,Статический щит
Static Shock,Статический шок
Static Shot,Статичный выстрел
Static Swing,Статичный взмах
Steadfast Courage,Непоколебимая отвага
Steadfast Rejuvenation,Непоколебимое омоложение
Steadfast Strike,Стойкий удар
Steal,Кража
Steal Defenses,Кража защиты
Steal Durability,Кража прочности
Steal Health,Кража здоровья
Steal Mobility,Кража мобильности
Steal Precision,Кража точности
Steal Resistance,Кража сопротивления
Steal Strength,Кража силы
Steal Warmth,Кража тепла
Steal.,Кража.
Stealing gives you initiative.,Кража даёт вам инициативу.
Stealth,Маскировка
