source,bare_exists
"""/Barbecue"" Emote Tome[s]",
"""/BloodstoneBoogie"" Emote Tome[s]",
"""/BlowKiss"" Emote Tome[s]",
"""/Breakdance"" Emote Tome[s]",
"""/Channel"" Emote Tome[s]",
"""/CrabDance"" Emote Tome[s]",
"""/Flex"" Emote Tome[s]",
"""/Heroic"" Emote Tome[s]",
"""/Hiss"" Emote Tome[s]",
"""/MagicTrick"" Emote Tome[s]",
"""/Paper"" Emote Tome[s]",
"""/PetalThrow"" Emote Tome[s]",
"""/Playdead"" Emote Tome[s]",
"""/PoseCover"" Emote Tome[s]",
"""/PoseHeart"" Emote Tome[s]",
"""/PoseHigh"" Emote Tome[s]",
"""/PoseLow"" Emote Tome[s]",
"""/PosePeace"" Emote Tome[s]",
"""/PoseSassy"" Emote Tome[s]",
"""/PoseShy"" Emote Tome[s]",
"""/PoseTwist"" Emote Tome[s]",
"""/Possessed"" Emote Tome[s]",
"""/Readbook"" Emote Tome[s]",
"""/Rock"" Emote Tome[s]",
"""/Rockout"" Emote Tome[s]",
"""/Scissors"" Emote Tome[s]",
"""/Serve"" Emote Tome[s]",
"""/Shiver"" Emote Tome[s]",
"""/Shiverplus"" Emote Tome[s]",
"""/Shocked"" Emote Tome[s]",
"""/ThumbsDown"" Emote Tome[s]",
"""/ThumbsUp"" Emote Tome[s]",
"""/Transform"" Emote Tome[s]",
"""/Unleash"" Emote Tome[s]",
"""/Whistle"" Emote Tome[s]",
"""/bless"" Emote Tome[s]",
"""/drink"" Emote Tome[s]",
"""Recovered"" Charr Artifact[s]",
%num1%,
%num1% %str1%,1
%num1% %str1% Alive,1
%num1% %str1% Dead,1
%num1% %str1% Destroyed,1
%num1% %str1% Remaining,
%num1% %str1% earned of %num2% possible this %str2%.,
"%num1% %str1%, %num2% %str2%, %num3% %str3%",
%num1% (Agility) - %num2% (Strength) = %str1%,
%num1% (Intelligence) - %num2% (Strength) = %str1%,
%num1% (NUM),
%num1% (Perception / 2) - %num2% (Vitality / 2) = %str1%,
%num1% (Willpower / 2) - %num2% (Vitality / 2) = %str1%,
%num1% + %num2%,1
%num1% + <c=%str1%>%num2%</c>,
%num1% - %num2%,1
%num1% - %str1%,
%num1% Additional Reward Tier[s],
%num1% Arrow[s],
%num1% Available,1
%num1% Blade[s],
%num1% Bluffs Punished,
%num1% Breath Attack[s] Dodged,
%num1% Caravan[s] Destroyed (lifetime),
%num1% Caravan[s] Successfully Escorted (lifetime),
%num1% Champion[s] Defeated,
%num1% Click Survey,
%num1% Damage in One Hit,
%num1% Days Left,
%num1% Dragon Damage Power-up[s] Gained in the Dragon Ball Arena,
%num1% Dungeon Stories Complete,
%num1% Energy,1
%num1% Essence,1
%num1% Fiery Dragon Attack[s] Dodged,
%num1% Firecrackers Lit,
%num1% Games Played,1
%num1% Glob[s] of Destabilized Ectoplasm Used,
%num1% Gold,1
%num1% Hero Points Earned,1
%num1% Hz,
%num1% Illusion[s],
%num1% Influence Earned,
%num1% Invisibility Power-up[s] Gained in the Dragon Ball Arena,
%num1% Item[s] Salvaged,
%num1% Item[s] Transmuted,
%num1% Karma,1
%num1% Keep[s] Captured (lifetime),
%num1% Keep[s] Defended (lifetime),
%num1% Luck,
%num1% Mastery Point[s],1
"%num1% Match[pl:""Matches""] Won in Unranked and Ranked Arena",
%num1% Max,1
%num1% NEW,
%num1% Note[s],
%num1% Owned,1
"%num1% Owned, %num2% Placed",
%num1% Percent Health Healed in the Dragon Ball Arena,
%num1% PvP Battle win[s].,
%num1% PvP matches were won for %num2% influence.,
%num1% Rank Points Earned from Ranked Matches,
"%num1% Ranked Match[pl:""Matches""] Won as a Guardian",
"%num1% Ranked Match[pl:""Matches""] Won as a Mesmer",
"%num1% Ranked Match[pl:""Matches""] Won as a Necromancer",
"%num1% Ranked Match[pl:""Matches""] Won as a Ranger",
"%num1% Ranked Match[pl:""Matches""] Won as a Revenant",
"%num1% Ranked Match[pl:""Matches""] Won as a Thief",
"%num1% Ranked Match[pl:""Matches""] Won as a Warrior",
"%num1% Ranked Match[pl:""Matches""] Won as an Elementalist",
"%num1% Ranked Match[pl:""Matches""] Won as an Engineer",
%num1% Ranked Matches Won,
%num1% Relic[s] Remain to Be Collected,
%num1% Sandstorm Flush Hands Played,
%num1% Servings,
%num1% Signature Moves Obtained,
%num1% Skill[s] Interrupted in the Dragon Ball Arena,
%num1% Special Objective[s] Captured (lifetime),
%num1% Successful Gathering[s],
%num1% Supply Camp[s] Captured (lifetime),
%num1% Supply Camp[s] Defended (lifetime),
%num1% Supply Generator[s] Captured (lifetime),
%num1% Top Stats Earned in Ranked Matches,
%num1% Top Three Finishes,
%num1% Total Dungeons Complete,
%num1% Total Energy Probe Defender[s] Killed,
%num1% Total Kill[s] in WvW,
%num1% Total Objective[s] Captured (lifetime),
%num1% Total Objective[s] Defended (lifetime),
%num1% Total Portal[s] Defended,
%num1% Total Power Regulator Warden[s] Defeated,
%num1% Total Supply Used for Repairs (lifetime),
%num1% Total Supply Used in WvW (lifetime),
%num1% Total Supply Used to Build Siege (lifetime),
"%num1% Tournament[pl:""Tournaments""] Won with Different Classes",
%num1% Tower[s] Captured (lifetime),
%num1% Tower[s] Defended (lifetime),
%num1% Unique Legendary Item[s],
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Guardian",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Mesmer",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Necromancer",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Ranger",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Revenant",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Thief",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as a Warrior",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as an Elementalist",
"%num1% Unranked and Ranked Arena Match[pl:""Matches""] Won as an Engineer",
%num1% Unspent Hero Points,1
%num1% Unspent Trait Points,1
%num1% Upgrade[s] Applied,
%num1% Vigil Escort[s] Completed,
%num1% XP,1
%num1% XP till next level.,
%num1% adrenaline,
%num1% blade[s],
%num1% concentration,
%num1% copper,
%num1% days left,
%num1% decoration[s] removed: %str1%,
%num1% drinks,
%num1% dungeons were completed for %num2% influence.,
%num1% energy,
%num1% energy (Placeholder),
%num1% events were completed for %num2% influence.,
%num1% feet,
%num1% game[s] remaining.,
%num1% gifts were received for %num2% influence.,
%num1% gold,
%num1% guild member[s] participated in defeating %str1% for %num2% influence.,
%num1% hits,
%num1% illusions,
%num1% in Bank,
%num1% in Treasury,
%num1% in Wallet,
%num1% initiative,
%num1% life force,
"%num1% match[pl:""matches""] won as a guardian.",
"%num1% match[pl:""matches""] won as a mesmer.",
"%num1% match[pl:""matches""] won as a necromancer.",
"%num1% match[pl:""matches""] won as a ranger.",
"%num1% match[pl:""matches""] won as a revenant.",
"%num1% match[pl:""matches""] won as a thief.",
"%num1% match[pl:""matches""] won as a warrior.",
"%num1% match[pl:""matches""] won as an elementalist.",
"%num1% match[pl:""matches""] won as an engineer.",
"%num1% member[pl:""members""] is[pl:""are""] %str1%.",
%num1% member[s] completed a round of fractals for %num2% influence.,
%num1% member[s] completed an event in %str1% for %num2% influence.,
%num1% member[s] logged in %str1% for %num2% influence.,
%num1% member[s] won a PvP match on the map %str1% for %num2% influence.,
%num1% members contributed %num2% influence through solo representation.,
%num1% members logged on for %num2% influence.,
%num1% morale,
%num1% of %num2%,
%num1% of %num2% %str1%,
%num1% of %num2% Achievements,
%num1% of %num2% Character Slots in Use,
%num1% of %num2% Codices Collected.,
%num1% of %num2% Complete,
%num1% of %num2% Completed,
%num1% of %num2% Daily Achievements Completed,
%num1% of %num2% Daily Metas Completed,
%num1% of %num2% Lore Books Found,
%num1% of %num2% Map Pieces Collected,
%num1% of %num2% Materials Collected.,
%num1% of %num2% Maximum,
"%num1% of %num2% Maximum, %num3% Placed",
