english,translate
"If you need to know something, I can help. But I'll leave the commanding to the experts.",Если нужно что-то узнать — я помогу. Но командовать оставлю знатокам.
"""We make it a free port, not beholden to any nation...The port would be open to any and all, so long as they'll fight against Orr and help to keep our waters clear.""   
—Cobiah Marriner, Founder of Lion's Arch, 1231 AE","«Мы делаем его вольным портом, не подвластным ни одной державе... Порт будет открыт для всех и каждого, покуда они готовы сражаться против Orr и помогать держать наши воды чистыми».   
—Cobiah Marriner, основатель Lion's Arch, 1231 ПИ"
Herboza the Wretched,Herboza the Wretched
Steals Life • Transfers Conditions • Plagues when Attacked,Крадёт жизнь • Переносит состояния • Насылает чуму при атаке
Travel to Ember Bay.,Отправляйтесь в Ember Bay.
This tome hums with magic.,Этот фолиант гудит от магии.
"Uh, that'll do, thank you.","Э-э, сойдёт, спасибо."
Vault Librarian,Vault Librarian
"Pull yourself together. We need your courage, not your complaints!","Возьми себя в руки. Нам нужна твоя храбрость, а не твои жалобы!"
"Should I report to Wynnet, since I'm of the Durmand Priory?","Мне доложить Wynnet, раз я из Durmand Priory?"
You there! Want to hunt some jotun?,"Эй, ты! Хочешь поохотиться на йотунов?"
"More beer, I say.","Ещё пива, вот что."
"We have incoming grawl, from the direction of those caves.","К нам идут граулы, со стороны тех пещер."
Tents,Палатки
Risen catalysts,Катализаторы Risen
These potions might prove effective against the Risen.,Эти зелья могут оказаться действенными против Risen.
Take a potion to try out.,Возьмите зелье на пробу.
Leave the potions here.,Оставьте зелья здесь.
You grab a potion.,Вы берёте зелье.
Maelstrom lives up to its name. The Pact are constantly working to suppress the pandemonium of Risen attacks and unscrupulous Nightmare Court activities. Every day is an adventure. Local skritt share our troubles with the undead and the Nightmare Court. Helping them increases their willingness to help us.,Мальстрём оправдывает своё имя. Пакт без устали подавляет хаос атак Risen и бесчестные дела Nightmare Court. Каждый день — приключение. Местные скритты делят с нами беды от нежити и Nightmare Court. Помощь им повышает их готовность помогать нам.
Nightmare Thorn Pod,Nightmare Thorn Pod
Explorer Bekk,Explorer Bekk
Explorer Urond,Explorer Urond
