english,translate,layer
Acht,"Ахт",pn_names
Agent Rjoda,"Агент Рьода",pn_names
Ahjj,"Ахдж",pn_names
Alarin,"Аларин",pn_names
Ardra,"Ардра",pn_names
Arias,"Ариас",pn_names
Atzintli,"Ацинтли",pn_names
Aurelio,"Аурелио",pn_names
Blopp,"Блопп",pn_names
Blork,"Блорк",pn_names
Borpp,"Борпп",pn_names
Bronson,"Бронсон",pn_names
Caillech,"Кайлех",pn_names
Carmel,"Кармель",pn_names
Cuadinti,"Куадинти",pn_names
Cyara,"Сиара",pn_names
Daphne,"Дафна",pn_names
Diantha,"Диантха",pn_names
Duidda,"Дуидда",pn_names
Elder Vern,"Старейшина Верн",pn_names
Glaxx,"Глакс",pn_names
Hafren,"Хафрен",pn_names
Herder Lyot,"Пастух Лиот",pn_names
Hrouda,"Хроуда",pn_names
Huelic,"Хьюлик",pn_names
Jenrys,"Дженрис",pn_names
Johan,"Йохан",pn_names
Joukje,"Яуке",pn_names
Kathryn,"Кэтрин",pn_names
Kaukiri,"Каукири",pn_names
Kelgg,"Келгг",pn_names
Kofi,"Кофи",pn_names
Kruppa,"Круппа",pn_names
Laewyn,"Лаэвин",pn_names
Leudap,"Леудап",pn_names
Marden,"Марден",pn_names
Milin,"Милин",pn_names
Milton Book,"Милтон Бук",pn_names
Mokooki,"Мокуки",pn_names
Naknar,"Накнар",pn_names
Neida,"Нейда",pn_names
Oisha,"Ойша",pn_names
Owta,"Оута",pn_names
Pachoo,"Пачу",pn_names
Queldip,"Квелдип",pn_names
Rama,"Рама",pn_names
Rebel Isaak,"Повстанец Исаак",pn_names
Rinceword,"Ринсворд",pn_names
Roslin,"Рослин",pn_names
Scout Greta,"Разведчик Грета",pn_names
Scout Jones,"Разведчик Джонс",pn_names
Scout Luke,"Разведчик Люк",pn_names
Seesa,"Сиса",pn_names
Shoon,"Шун",pn_names
Sik'klak,"Сик'клак",pn_names
Simooba,"Симуба",pn_names
Suki,"Суки",pn_names
Sun Warming,"Солнцегрев",pn_names
Takka,"Такка",pn_names
Tariq Ayim,"Тарик Айим",pn_names
Timar,"Тимар",pn_names
Toka,"Тока",pn_names
Vance,"Вэнс",pn_names
Vivienne,"Вивьен",pn_names
