english,translate
"Think you're mistaking me for somebody else, but I'll find that fruit.","Думаю, ты принимаешь меня за кого-то другого, но я найду эти фрукты."
"Think you're so talented, Kyung? That why you're here? Needed someone else to fawn over you?","Думаешь, ты такая талантливая, Kyung? Поэтому ты здесь? Нужно было, чтобы кто-то еще тобой восхищался?"
"Think you're takin' me in? Ha! Well, I'm just shakin' in my boots!","Думаешь, ты меня арестуешь? Ха! Да я просто трясусь от страха!"
"Think you're too good for us, Yao? There's the door.","Думаешь, ты лучше нас, Yao? Вон дверь."
"Think you're tough enough for the gang? Y'think you can buddy up to ol' Crusher Dan by strolling in, easy as you please?","Думаешь, ты достаточно крут для банды? Думаешь, сможешь подружиться со старым Crusher Dan, просто прогуливаясь здесь, как ни в чем не бывало?"
Think you've caught up to Margrid yet?,"Думаешь, ты уже догнал Margrid?"
Think you've got what it takes to dethrone me as Fishmaster? Prove it! Sign up for my contest!,"Думаешь, у тебя есть все необходимое, чтобы свергнуть меня с поста Мастера рыбалки? Докажи это! Записывайся на мой конкурс!"
"Think, Cre. Strategy.","Думай, Cre. Стратегия."
"Think, Gorrik, think... The jade! Try using the jade! Just trust me.","Думай, Gorrik, думай... Нефрит! Попробуй использовать нефрит! Просто доверься мне."
Think. Bangar's compromised. He's trying to yoke an Elder Dragon! This war will get so much worse.,Подумай. Bangar скомпрометирован. Он пытается подчинить себе Древнего Дракона! Эта война станет намного хуже.
Thinkin' we better hit that tentacle now. Hole's not gonna close with that thing in the way.,"Думаю, лучше ударить по щупальцу сейчас. Дыра не закроется, пока эта штука стоит на пути."
Thinking a lot about Crecia and the vote. I was mad—let her see that I was mad. I'm an imperator. That's not good.,"Много думаю о Crecia и голосовании. Я был зол — пусть видит, что я был зол. Я император. Это нехорошо."
Thinking about home keeps me warm. Honey on toast. Hot soup. Mmm. What's your home like?,Мысли о доме согревают. Мед на тосте. Горячий суп. М-м-м. А как выглядит твой дом?
Thinking about moving back into this citadel?,
"Thinking about pickled wurm eggs-slimy, blackened, deep-fried-got my stomach growling! I wanna help cook.","Думаю о маринованных яйцах червя — слизистых, почерневших, жареных во фритюре — у меня аж в животе заурчало! Хочу помочь с готовкой."
"Thinking back on it, the prince treated me as a courtier rather than a guard or a servant. He was a good man.","Вспоминая об этом, принц относился ко мне как к придворному, а не как к стражнику или слуге. Он был хорошим человеком."
"Thinking back, I now know what Kormir meant. ""Undo this wrong. The means are in your grasp."" You should have it.","Оглядываясь назад, я теперь понимаю, что имела в виду Kormir. «Исправь это зло. Средства в твоих руках». Оно должно быть у тебя."
"Thinking caps and butt-kicking boots on, everyone. We have undead inbound!","Включаем мозги и готовимся раздавать тумаки, народ. К нам идет нежить!"
"Thinking? I was thinking I should wait! But then I stopped thinking that, because there were krait. Those eels will pay for harming Tegwen!","Думал? Я думал, что должен подождать! Но потом я перестал так думать, потому что там были крэйты. Эти угри заплатят за то, что навредили Tegwen!"
"Thinks a couple of the imperators are already vying for Khan-Ur. Hope it doesn't get ugly, we've been through...a lot.","Думает, что пара императоров уже соперничают за титул Khan-Ur. Надеюсь, до безобразия не дойдет, мы через многое... прошли."
"Thinning out the enemy's numbers is a solid strategy. The Order of Whispers is at your disposal, Commander. Good luck.","Прореживание рядов врага — надежная стратегия. Орден Шепота в вашем распоряжении, Коммандир. Удачи."
"Third favorite. Okay, if I'm being honest, this one was always a bit of a disappointment.","Третий любимый. Ладно, если честно, этот всегда был немного разочарованием."
Third generation...,Третье поколение...
Third group's away. Fourth group: hurry! We're almost done!,Третья группа ушла. Четвертая группа: поторопитесь! Мы почти закончили!
Third group's clear. Fourth group: hurry! We're nearly done.,Третья группа свободна. Четвертая группа: поторопитесь! Мы почти закончили.
"Third group's out. Fourth group, hurry. We're nearly done!","Третья группа ушла. Четвертая группа, поторопитесь. Мы почти закончили!"
Third line: (one at random),Третья строка: (одна из случайных)
Third order.,
Third spot reached. I could build these reflectors from memory by now. I'm kidding. I have been this whole time.,Третья точка достигнута. Я бы уже мог строить эти отражатели по памяти. Шучу. Я все это время так и делал.
Third terminal down. There's something strange. I'm not the only one in the system.,Третий терминал отключен. Тут что-то странное. Я не одна в системе.
Third time is the charm. Let's get to a safe distance.,Бог любит троицу. Давайте отойдем на безопасное расстояние.
"Third time's the charm, I suppose.","Бог любит троицу, полагаю."
Third–floor. Navigational–aptitude. Please–exit–existence–bzzt–elevator.,
Thirsty! Get on with it!,Жаждущие! Давай уже!
"Thirsty, hmm? Not to worry. I brought some water to pour on you.","Хочешь пить, хм? Не волнуйся. Я принес воды, чтобы полить тебя."
"Thirteen hundred years ago, Abaddon and his army of fanatics waged a war ranging across the shores and islands of the Crystal Sea.","Тысячу триста лет назад Abaddon и его армия фанатиков вели войну, охватившую берега и острова Хрустального моря."
Thirteen.,Тринадцать.
Thirty-one.,Тридцать одна.
"This ""Rock Face"" they speak of knows more, but they won't let me get close enough to ask how to work this blasted machine.","Это «Каменное Лицо», о котором они говорят, знает больше, но они не подпускают меня достаточно близко, чтобы спросить, как работает эта проклятая машина."
"This ""Vyacheslav"" stole an ancient architectural tome from Scholar's Cleft. We need to know more about him, his plans, and his weapon.","Этот ""Vyacheslav"" украл древний архитектурный фолиант из Scholar's Cleft. Нам нужно знать больше о нем, его планах и его оружии."
"This ""brute"" could be the foe you seek. Hurry!","Этот «зверь» может быть тем врагом, которого ты ищешь. Поторапливайся!"
"This ""creature"" is an associate of mine.",Это «существо» — мой коллега.
"This ""life"" beyond the grave will become even duller than before. Hard to imagine.","Эта «жизнь» за гробом станет еще скучнее, чем раньше. Трудно представить."
This Ancora is clearly essential to performing the rite. So we need to find it first.,Этот Ancora явно необходим для проведения обряда. Так что нам нужно найти его в первую очередь.
This Asura gate appears to have been damaged by a power surge. It'll take many repairs to restore its functionality. It was last attuned to a location in Brisban Wildlands.,
This Asura gate lacks power and is inoperable. Perhaps someone with more technical knowledge could examine it more closely.,
"This Blood Legionnaire said a Flame Legion attack was incoming and that my ranch was in danger. He ordered me to herd them here, for safety.","Этот легионер Кровавого Легиона сказал, что приближается атака Огненного Легиона и моему ранчо грозит опасность. Он приказал мне перегнать их сюда, ради безопасности."
"This Castora is a dangerous place, from what I've heard.","Эта Castora — опасное место, судя по тому, что я слышал."
"This Cimmara has to learn: there's only room for one hotshot, and his name is Maverick.","Эта Cimmara должна усвоить: здесь есть место только для одного горячего парня, и его зовут Maverick."
"This DERV is more than ready for action! The Pact is aiding the Mist Wardens to the south, so that's where we're headed!","Этот DERV более чем готов к бою! Пакт помогает Стражам Туманов на юге, так что мы направляемся туда!"
This Dominion scum over here needs to be demoted!,Эту шваль из Доминиона нужно понизить в звании!
"This Eye's corpse should tell us more about Zhaitan's servants, and how he communicates with them.","Труп этого Ока должен рассказать нам больше о слугах Zhaitan и о том, как он с ними общается."
"This Forged husk has been abandoned here, and the ﬂames within the suit of armor have gone out.","Эта оболочка Кованого была брошена здесь, а пламя внутри доспеха погасло."
"This Fyon's okay. I wonder if he knows any really old soldier songs. You know, the extra-dirty ones that get you reprimanded by brass for singing them on duty.","Этот Fyon ничего такой. Интересно, знает ли он какие-нибудь очень старые солдатские песни. Ну, знаете, те самые непристойные, за которые начальство отчитывает, если поешь их при исполнении."
This Ghan's all right. He knows what it's like to have your fur matted with the enemy's blood.,"Этот Ghan в порядке. Он знает, каково это — когда твоя шерсть слипается от крови врага."
This I made long ago for my mate. Silken Weir was her name. A small gift for bringing our little arrow into the world.,"Я сделал это давно для своей пары. Её звали Silken Weir. Небольшой подарок за то, что она принесла в этот мир нашу маленькую стрелу."
This I've got to hear.,Это я должен услышать.
"This IS a lot of work. Okay, fine.","Это ДЕЙСТВИТЕЛЬНО много работы. Ладно, хорошо."
This IS the end. Go on! We'll cover you.,Это И ЕСТЬ конец. Давай! Мы прикроем тебя.
This IS the end. Just go! Catch up to your people. Now!,Это И ЕСТЬ конец. Просто уходи! Догоняй своих. Сейчас же!
This IS the end. Rejoin your people. We'll cover you. It's why we're here!,Это И ЕСТЬ конец. Воссоединяйся со своим народом. Мы прикроем тебя. Для этого мы здесь!
"This Kellach could be under Zhaitan's influence. Could he be inciting the Risen, and making them more aggressive? Maybe he's a necromancer?","Этот Kellach может быть под влиянием Zhaitan. Может ли он подстрекать Risen и делать их более агрессивными? Может, он некромант?"
This Korag sounds ambitious. The jotun haven't had a giant-king for centuries—and the last thing Hoelbrak needs is one that worships Jormag.,"Этот Korag звучит амбициозно. У йотунов не было короля великанов столетиями — а последнее, что нужно Hoelbrak, это король, поклоняющийся Jormag."
"This Kryptis seethes, grinding its fangs in frustration. It is clearly under orders to let you pass.","Этот Kryptis кипит, скрежеща клыками от разочарования. Ему явно приказали пропустить тебя."
"This Lormar must be the one behind all of this. Kill him, and maybe those ghosts will just fade away.","Этот Lormar, должно быть, стоит за всем этим. Убейте его, и, возможно, эти призраки просто исчезнут."
This Mad King says...,Этот Mad King говорит...
"This Molten weapon will overheat if its vent is destroyed, but only a massive force can damage it.","Это оружие Molten перегреется, если уничтожить его вентиляцию, но повредить её может только огромная сила."
This Molten weapon will overheat if its vent is destroyed. Your explosives should do the trick.,"Это оружие Molten перегреется, если уничтожить его вентиляцию. Ваша взрывчатка должна сработать."
"This Mordrem vine is lifeless and devoid of magic, like others in the vicinity.",
This Pact weapons crate is still intact. And there's ordnance here we can use.,"Этот ящик с оружием Пакта уцелел. И здесь есть боеприпасы, которые мы можем использовать."
This Priory excavation site might hold an artifact or two.,На этом месте раскопок Priory может быть пара артефактов.
"This Sanctuaryshould be lowercase is our home, and we must defend it at all costs. Will you lend us your strength?","Это святилище — наш дом, и мы должны защищать его любой ценой. Вы одолжите нам свою силу?"
This Searing effigy will bring fire to the whole of Tyria.,
