english,translate,layer
Arcanist Timble,"Арканист Тимбл",pn_names
ArenaNet Staff,"Команда ArenaNet",pn_names
Bandit Bill,"Бандит Билл",pn_names
Brilliant Dawn,"Сияющий Рассвет",pn_names
Brokkar,"Броккар",pn_names
Cakilak'ka,"Какилак'ка",pn_names
Captain Magnus,"Капитан Магнус",pn_names
Carrot,"Морковка",pn_names
Clerk Ulva,"Клерк Ульва",pn_names
Costi Atl,"Кости Атль",pn_names
Crawfish,"Рак",pn_names
Crusader Patrick,"Крестоносец Патрик",pn_names
Dancing Minstrel,"Танцующий Менестрель",pn_names
Doola,"Дула",pn_names
Ela Makkay,"Эла Маккей",pn_names
Elain,"Элейн",pn_names
Imperator Smodur the Unflinching,"Император Смодур Несгибаемый",pn_names
Kaargoth Bloodclaw,"Каргот Кровавый Коготь",pn_names
Kurt Bengtsson,"Курт Бенгтссон",pn_names
Lugung,"Лугунг",pn_names
Mako,"Мако",pn_names
Meinolf Njordson,"Майнольф Ньордсон",pn_names
Natto,"Натто",pn_names
Nuri,"Нури",pn_names
Operative Selly,"Оперативник Селли",pn_names
Paenula Drakecatcher,"Пенула Драколов",pn_names
Professor Smoll,"Профессор Смолл",pn_names
Scholar Inka,"Учёный Инка",pn_names
Scholar Olenn,"Учёный Оленн",pn_names
Sergeant Yarbrough,"Сержант Ярбро",pn_names
Shelp,"Шелп",pn_names
Undercover Agent Tulfar,"Тайный агент Тулфар",pn_names
Warden Caedmon,"Страж Кедмон",pn_names
