english,translate
Bind  unique legendary Perfected Envoy armor skin.,Привяжите уникальный облик легендарной брони Совершенного посланника.
Bind  unique legendary weapon or trinket.,Привяжите уникальное легендарное оружие или аксессуар.
"Break the Shatterer's defiance bar  time, preventing its Shard Storm attack.","Сбейте шкалу стойкости Shatterer 1 раз, предотвратив его атаку «Shard Storm»."
Capture  keep.,Захватите крепость.
Capture  ruin.,Захватите руины.
Capture  special objective.,Захватите особую цель.
Capture  supply camp.,Захватите лагерь снабжения.
Capture  supply generator.,Захватите генератор снабжения.
Capture  tower.,Захватите башню.
Cause  fumble in keg brawls.,Вызывайте промахи в потасовках с бочонками.
Collect  unique legendary Obsidian armor skin.,Соберите уникальный легендарный облик Обсидиановой брони.
Collect  unique legendary Suffused Obsidian armor skin.,Соберите уникальный легендарный облик Напитанной обсидиановой брони.
"Complete  ""Flashpoint"" achievement.",Выполните достижение «Точка вспышки».
"Complete  ""No Quarter"" achievement.",Выполните достижение «Никакой пощады».
"Complete  ""Shadow in the Ice"" achievement.",Выполните достижение «Тень во льду».
Complete  Aetherblade achievement.,Выполните достижение «Эфирный клинок».
Complete  Aftermath achievement.,Выполните достижение «Последствия».
Complete  Bloodtide Coast Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Побережье Волн со всеми активными испытаниями.
Complete  Brisban Wildlands Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Брисбанских диких землях со всеми активными испытаниями.
Complete  Caledon Forest Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Каледонском лесу со всеми активными испытаниями.
Complete  Corrupted Spirit event in West Bjora Marches.,Завершите событие «Оскверненный дух» в Западных рубежах Бьорры.
Complete  Disable Inquest Cannon event.,Завершите событие «Отключить пушку Инквеста».
Complete  Dragon Bash achievement.,Выполните достижение «Праздник драконов».
Complete  Dragon Response Mission.,Завершите миссию реагирования на драконов.
Complete  Fields of Ruin Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Полях Руин со всеми активными испытаниями.
Complete  Fireheart Rise Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Огненных скалах со всеми активными испытаниями.
Complete  Gendarran Fields Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Полях Гендарры со всеми активными испытаниями.
Complete  Lake Doric Dragon Response Mission with all challenges active.,Завершите миссию «Ответ дракону» в Lake Doric со всеми активными испытаниями.
Complete  Metrica Province Dragon Response Mission with all challenges active.,Завершите миссию «Ответ дракону» в Metrica Province со всеми активными испытаниями.
Complete  PvP seasonal achievement.,Выполните сезонное PvP-достижение.
Complete  Snowden Drifts Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Snowden Drifts со всеми активными испытаниями.
Complete  Steel and Fire achievement.,Завершите достижение Steel and Fire.
Complete  Tequatl achievement.,Завершите достижение Tequatl.
Complete  Thunderhead Keep Dragon Response Mission with all challenges active.,Завершите миссию реагирования на драконов в Thunderhead Keep со всеми активными испытаниями.
Complete  WvW weekly achievement.,Завершите еженедельное достижение WvW.
Complete  achievement for World 2.,Завершите достижение для World 2.
Complete  achievement from this category.,Завершите достижение из этой категории.
Complete  daily bounty order from the Shining Blade.,Завершите ежедневный заказ на награду от Shining Blade.
Complete  event in Fields of Ruin.,Завершите событие в Fields of Ruin.
Complete  event in and around Viathan Lake in Kessex Hills.,Завершите событие в Viathan Lake и его окрестностях в Kessex Hills.
Complete  event inside the Tower of Nightmares.,Завершите событие внутри Tower of Nightmares.
Complete  events in Gyala Delve.,Завершите события в Gyala Delve.
Complete  events in New Kaineng City.,Завершите события в New Kaineng City.
Complete  events in Seitung Province.,Завершите события в Seitung Province.
Complete  scale 14 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 14-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 15 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 15-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 16 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 16-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 18 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 18-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 19 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 19-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 2 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 2-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 4 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 4-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 5 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 5-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 6 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 6-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 7 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 7-го уровня в Туманах через портал в Львиной Арке.
Complete  scale 8 fractal in the Fractals of the Mists through the portal in Lion's Arch.,Завершите фрактал 8-го уровня в Туманах через портал в Львиной Арке.
Complete  scarab beetle event.,Завершите событие со скарабеем.
"Complete  specific ""Champions"" achievement.",Завершите указанное достижение «Champions».
Complete  thorn wall event.,Завершите событие с терновой стеной.
Complete  unique fractal at scales 1–25.,Завершите уникальный фрактал на уровнях 1–25.
Complete  unique fractal at scales 26–50.,Завершите уникальный фрактал на уровнях 26–50.
Complete  unique fractal at scales 51–75.,Завершите уникальный фрактал на уровнях 51–75.
Complete  unique fractal at scales 76–100.,Завершите уникальный фрактал на уровнях 76–100.
