english,translate,layer
sylvari,сильвари,pn_terms
Sylvari,сильвари,pn_terms
asura,асура,pn_terms
asuran,асурский,pn_terms
asurans,асура,pn_terms
norn,норн,pn_terms
norns,норны,pn_terms
charr,чарр,pn_terms
hylek,хилек,pn_terms
grawl,граул,pn_terms
tengu,тенгу,pn_terms
dredge,дредж,pn_terms
krait,крайт,pn_terms
centaur,кентавр,pn_terms
centaurs,кентавры,pn_terms
ogre,огр,pn_terms
ogres,огры,pn_terms
ettin,эттин,pn_terms
ettins,эттины,pn_terms
devourer,пожиратель,pn_terms
devourers,пожиратели,pn_terms
drake,дрейк,pn_terms
drakes,дрейки,pn_terms
wurm,вурм,pn_terms
wurms,вурмы,pn_terms
skimmer,скиммер,pn_terms
skimmers,скиммеры,pn_terms
skyscale,скайскейл,pn_terms
skyscales,скайскейлы,pn_terms
watchknights,рыцари-стражи,pn_terms
crusader,крестоносец,pn_terms
crusaders,крестоносцы,pn_terms
moa,моа,pn_terms
dolyaks,дольяки,pn_terms
bookah,букашка,pn_terms
aurillium,ауриллий,pn_terms
