english,translate
Ascalonians remaining: x%,Осталось Ascalonians: x%
Audience hype:,Ажиотаж аудитории:
Branded population remaining: x%,Осталось Клейменых: x%
Capture d'écran,Снимок экрана
Centaur control: x%,Контроль кентавров: x%
Construction Complete: X%,Строительство завершено: X%
Crab Island infestation: x%,Заражение острова крабами: x%
Crystal pylons: x,Кристаллические пилоны: x
Cuatl Morale: x%,Боевой дух Cuatl: x%
Destroy the replicators: x remaining,Уничтожьте репликаторы: осталось x
Destroyer attack force: x%,Ударная группа разрушителей: x%
Destroyer swarm fury: x%,Ярость роя destroyers: x%
Dredge forces remaining: x%,Осталось сил dredge: x%
Energy gathered: x%,Энергии собрано: x%
Energy stored: x%,Энергии накоплено: x%
Fires remaining: x,Осталось пожаров: x
Flame Legion morale: x%,Боевой дух Легиона Пламени: x%
Forged Siege Strength: x%,Сила осадных орудий Forged: x%
Heroes standing ready: x,Герои наготове: x
Inquest determination: x%,Решимость Inquest: x%
Inquest morale: x%,Боевой дух Inquest: x%
Inquest remaining: x%,Осталось Inquest: x%
Ley line samples collected: x%,Образцы лей-линий собраны: x%
Malfunctioning golems: x,Неисправные големы: x
Mark II golem's power: x%,Мощность голема Mark II: x%
Morgatl hylek morale: x%,Боевой дух гилеков Morgatl: x%
Nightmare Court morale: x%,Боевой дух Nightmare Court: x%
Ogre morale: x%,Боевой дух огров: x%
Optional - Stop frenzied skritt: x,Дополнительно - Остановите обезумевших скриттов: x
Pact morale: x%,Боевой дух Pact: x%
Pen capacity: x% full,Загон заполнен на: x%
Pirate Strength: x%,Сила пиратов: x%
Players remaining: X,Осталось игроков: X
Reactor output: x%,Мощность реактора: x%
Refugees downed: x,Беженцев повержено: x
Risen mob strength: x%,Сила толпы Risen: x%
Risen remaining:,Осталось Risen:
Risen remaining: x,Осталось Risen: x
Risen remaining: x%,Осталось Risen: x%
Risen swarm strength: x%,Сила роя Risen: x%
Ritual progress: x%,Прогресс ритуала: x%
Scarecrows remaining: x,Осталось пугал: x
Seekers alive: X,Искателей в живых: X
Separatist morale: x%,Боевой дух сепаратистов: x%
Servants to be revived: x,Слуг нужно оживить: x
Skritt morale: X%,Боевой дух skritt: X%
Skritt solidarity: x%,Солидарность скриттов: x%
Skyscales transported safely: x,Скайскейлов перевезено безопасно: x
Sludge reservoir filled: x%,Резервуар со слизью заполнен: x%
Stampeding minotaurs remaining: x%,Осталось бушующих минотавров: x%
Success! Overcharge the golem to make him more powerful. Level: X,"Успех! Перегрузите голема, чтобы сделать его мощнее. Уровень: X"
Summoned imps remaining: x,Осталось призванных бесов: x
Supplies remaining: X,Осталось припасов: X
Supplies remaining: X/?,Осталось припасов: X/?
Supply in Depot: x of 100.,Припасов на складе: x из 100.
Supply in Depot: x of 150.,Припасов на складе: x из 150.
Supply in Depot: x of 225.,Припасы на складе: x из 225.
Supply in Depot: x of 300.,Припасов на складе: x из 300.
Supply in Depot: x of 350.,Припасов на складе: x из 350.
Supply in Depot: x of 500.,Припасов на складе: x из 500.
Supply in Depot: x of 550.,Припасы на складе: x из 550.
Supply in Depot: x of 750.,Припасов на складе: x из 750.
Supply in Depot: x of x.,Припасов на складе: x из x.
Supply in Depot: x of y.,Припасов на складе: x из y.
Tamini Morale: x%,Боевой дух Tamini: x%
Target points scored:,Набрано очков за мишени:
Targets destroyed:,Цели уничтожены:
Tengu contestant score:,Счёт участника tengu:
Termite attack strength: x%,Сила атаки термитов: x%
Total fish caught: x,Всего поймано рыбы: x
Total racers finished: x,Всего финишировало гонщиков: x
Toxifiers remaining: x,Осталось токсификаторов: x
Treasure finders: x,Искатели сокровищ: x
Undead Remaining:,Осталось нежити:
Undead remaining: x,Осталось нежити: x
Undead remaining: x%,Осталось нежити: x%
Water Purified: x%,Вода очищена: x%
Waves defeated:,Волн отражено:
Young harpy morale: X%,Боевой дух молодых гарпий: X%
Zephyrites: X Crystal Shards,Зефириты: X кристальных осколков
Zoydd's golems active: x,Активных големов Zoydd: x
x% Branded Swarm Remaining,Осталось Branded Swarm: x%
♪ La-de-da-de-da ♪,♪ Ла-ди-да-ди-да ♪
